title,url,date
Switzerland: First explicit legal regulation against Greenwashing,https://cms.law/en/int/publication/cms-green-globe/news-in-sustainability-claims/switzerland-first-explicit-legal-regulation-against-greenwashing,2024-05-10
Netherlands: KLM: Flying to high in Dutch greenwashing class action,https://cms.law/en/int/publication/cms-green-globe/news-in-sustainability-claims/netherlands-klm-flying-to-high-in-dutch-greenwashing-class-action,2024-05-08
CMS comments on proposal for EU foreign investment screening regulation,https://cms.law/en/int/publication/cms-comments-on-proposal-for-eu-foreign-investment-screening-regulation,2024-05-02
UK ad regulator publishes research on consumer understanding of green claims...,https://cms.law/en/int/publication/cms-green-globe/news-in-sustainability-claims/uk-ad-regulator-publishes-research-on-consumer-understanding-of-green-claims-in-the-food-industry,2024-04-26
On your radar | Issue 24,https://cms.law/en/int/publication/on-your-radar-issue-24,2024-04-25
CMS Class Actions video series,https://cms.law/en/int/publication/cms-european-class-actions-report-2023/cms-class-actions-video-series,2024-04-15
Reflections from Mobile World Congress 2024,https://cms.law/en/int/publication/reflections-from-mobile-world-congress-2024,2024-04-12
Focusing on Funds: An update on the Register of Overseas Entities regime,https://cms.law/en/int/publication/focusing-on-funds-an-update-on-the-register-of-overseas-entities-regime,2024-04-09
France: A public consultation on Digital Medical Devices for mental health,https://cms.law/en/int/publication/cms-dtx-legal-navigator/news-on-dtx-legal/france-a-public-consultation-on-digital-medical-devices-for-mental-health,2024-04-04
CMS European M&A Study 2024,https://cms.law/en/int/publication/cms-european-m-a-study-2024,2024-03-21
