Firm,Publication Title,Chunk Text
Hengeler Mueller,Additional compliance burdens to be expected,"In November 2021, Germany's new governing parties, the Social Democrats (SPD), Greens and the Free Democrats (FDP), presented their coalition agreement.

It was formally signed in December.

On three key compliance issues – corporate sanctions, whistleblower protection and human rights protection in supply chain management – there are indications that, in the medium term, implementation of the new Government's plans will create significant additional regulatory burdens for German business.

Corporate sanctions According to their agreement, the coalition parties intend to review the provisions on corporate sanctions, including those on sanction amounts, in order to increase legal certainty for companies with regard to their compliance obligations and to create a precise legal framework for internal investigations.

Even from an initial review, one cannot help thinking that the new provisions will be principally designed to introduce higher sanctions for companies.

Even though the primary reason given for their introduction is to create greater legal certainty, this does not necessitate a corporate sanctions law, as apparently favoured by representatives of the SPD and the Greens.

By the same token, discussion on the draft German Act on the Sanctioning of Entities ( Verbandssanktionengesetz ) during the last legislative term showed that lawmakers very quickly reached their limits in providing for specific compliance obligations due to the diverse nature of the parties affected by the regulations.

The same is likely to apply to the establishment of detailed provisions on internal investigations: among other reasons, this is because of the immediate relevance to labour and co-determination law, as well as to data protection law, which is primarily established by European law.

Whistleblower protection – implementation of the EU Whistleblower Directive Another item on the Government's agenda is the legal certainty and practical transposition of the EU Whistleblower Directive.

Whistleblowers are to be protected against any legal disadvantages - not only when reporting breaches of EU law, but also when reporting significant rule breaches or other significant misconduct where detection is notably in the public interest.

During the last legislative term, implementation of the EU Whistleblower Directive failed due to opposition from the Conservatives to overachieving the transposition of the Directive into national law (also known as ""gold-plating"").

Now, gold-plating will be carried out, i.e. statutory whistleblower protection, not only in the case of breaches of EU law as provided for in the Directive, but also in cases far beyond that.

What might seem appropriate from the whistleblower's viewpoint raises serious questions from the perspective of other affected parties.

In some cases, whistleblower protection may entail far-reaching encroachments on the affected companies' fundamental rights (and possible restrictions on the functions of relevant government bodies).

The coalition agreement appears to provide for such protection even where there has been no violation of law but (lawful) ""considerable misconduct"".

–If this policy decision would be transposed into law, the transposition act's conformity with constitutional law would require a thorough review.

Supply chains Furthermore, the new Government is backing an effective EU Due Diligence Act based on the UN Guiding Principles on Business and Human Rights that does not place undue strain on SMEs.

Moreover, the German Act on Corporate Due Diligence in Supply Chains is to be implemented without alteration and will possibly be improved.

From a company perspective, keeping the current version of the German Act on Corporate Due Diligence in Supply Chains and implementing it unaltered can be viewed as being in the interests of legal certainty and predictability."
Hengeler Mueller,Additional compliance burdens to be expected,"Supporting an ""effective EU Due Diligence Act"" will, however, probably result in further increases to the administrative burden and create sanction risks for companies.

In light of how the European law-making process has evolved, it is anticipated that obligations beyond those which are applicable under national law – in particular for SMEs – will be included at the EU level.

Outlook Implementation of the amendments, as proposed in the coalition agreement with regard to current compliance matters, would materially change the legal framework for the companies concerned.

Currently, it appears probable that this will result in an additional burden on them for preventive compliance and possibly lead to subsequent stricter sanctioning as well.

Companies should therefore assess the draft legislative proposals in good time and address any necessary concerns.

Equally, this may also present opportunities, particularly with a view to refining compliance management systems and taking account of ESG considerations.

Companies should exploit these opportunities at the earliest possible stage."
Hengeler Mueller,ESG update: Hydrogen's role on the path to climate neutrality,"Hydrogen hast vast potential to transform our economy in a sustainable manner on the path to achieve climate neutrality by 2045.

For the industrial sector, which is very energy-intensive, or freight transport it could be the key to a balanced carbon budget.

But what are the related challenges and what legal frameworks and fundamental issues must be addressed in the process?

Hengeler Mueller counsel Dr Moritz Rademacher, an expert in energy law and regulated industries, discusses these and many other key questions in the interview.

Your browser does not support the audio element."
Hengeler Mueller,Protecting human rights and the environment along supply chains,"Starting this year, the protection of human rights and the environment along German companies' supply chains will become even more important not just in terms of impact on their reputations, but as a legal obligation as well.

The German Supply Chain Due Diligence Act The Lieferkettensorgfaltspflichtengesetz – or LkSG – took effect on 1 January 2023.

A last-minute effort by opposition parties to delay the law's entry into force appears to have failed.

On 15 December 2022, the alliance of Christian Democrats/Christian Socialists (CDU/CSU) submitted a motion in the Bundestag to postpone the enactment of the LkSG by two years because of the strain the COVID-19 pandemic and the Ukraine war was putting on the Germany economy.

The motion is scheduled to be discussed further this month, even though the LkSG has already taken effect.

Under the new law, large companies with more than 3,000 employees based in Germany now have to comply with far-reaching due diligence obligations relating to the protection of human rights and certain environmental goods along their global supply chains.

The obligations include a comprehensive risk assessment, implementation of a risk management system, publication of a senior management declaration on the company's human rights strategy, taking remediation measures where required, and the operation of a complaint mechanism.

From 1 January 2024, the law will also apply to all companies with 1,000 or more employees in Germany.

As the new law includes fairly broad, complex and vaguely worded legal concepts, guidance on its implementation issued by the relevant government agency, the Federal Office of Economic Affairs and Export Control (BAFA), carries significant weight: that guidance has been intensely debated by German companies in recent months.

So far, BAFA has published two handouts and a questionnaire.

The handouts contain useful information for companies, but are unspecific on certain provisions of the law.

To some extent, they adopt an interpretation of the law that is perceived as being unreasonably broad and challenging for affected companies.

The questionnaire is designed to be used by companies for generating a complete report to be submitted to BAFA in order to fulfil their reporting obligations, as outlined in the law.

Containing numerous closed or multiple-choice questions, the questionnaire is supposed to make the process easier for companies, but it also creates a risk: such a narrow structure cannot always do justice to the required nuances of implementation at a company-wide level.

It remains to be seen how BAFA will deal with the (still considerable) legal uncertainty of how companies are supposed to achieve compliance with the law and whether this will be reflected in BAFA’s enforcement approach during the initial phase after it enters into force.

A proposed European Directive on Corporate Sustainability Due Diligence (CSDD)

In addition to requirements under national law, it is likely that human rights due diligence will also become regulated by EU law.

In February 2022, the European Commission adopted a proposal for a directive on corporate sustainability due diligence to complement the existing legal framework, which is based predominantly on ESG reporting obligations such as those defined in the Corporate Sustainability Reporting Directive (CSRD).

Recently, the Council adopted its position, which the European Parliament is expected to concur with in May 2023, paving the way for negotiations on the final language of the CSDD later this year.

The Commission and the Council are largely in agreement on the scope of the CSDD's application.

Companies established under the laws of an EU member state are to be covered by the directive if they have an average of more than 500 employees and a worldwide net turnover of more than EUR 150 million in the previous business year."
Hengeler Mueller,Protecting human rights and the environment along supply chains,"If they are active in so-called 'high impact sectors', companies with an average of more than 250 employees and an annual worldwide turnover of more than EUR 40 million can also fall within its scope.

Non-EU companies incorporated under the laws of a third country will be obliged to comply with the CSDD if they had a net turnover in the Union of more than EUR 150 million in the previous financial year.

As it stands, the draft directive imposes far-reaching corporate due diligence obligations.

Companies will be required to identify potential or actual negative impacts on human rights and the environment linked to their business activities, those of their subsidiaries and those of their direct and indirect business partners who are part of the ""chain of activities"" and they will have to avoid or eliminate them, respectively, as far as possible.

The draft directive also provides for an obligation to establish and maintain a complaints procedure, as well as an obligation for companies to evaluate their own activities and actions regularly in addition to those of their subsidiaries.

In the event of violations, enforcement measures, including fines, will apply.

In contrast to the LkSG, the proposed directive explicitly provides for civil liability if a company has not fulfilled its obligations.

German companies will have to devote significant resources in the coming years to ensure that they are compliant with the new regulatory framework for protecting human rights and the environment, to avoid regulatory enforcement and litigation risks, and to protect their reputations."
Hengeler Mueller,Climate litigation as a business risk,"The rise in climate-related litigation over recent years (particularly following the 2015 Paris Climate Agreement) has resulted in increased litigation risks for companies.

Since 2020, about 500 such cases have been registered globally (a quarter of the total number of climate actions recorded).

The majority originate from the US, while Australia, the UK and the EU are increasingly popular jurisdictions.

Pro-regulatory claims for more climate protection Most claims seeking greater climate protection are directed against states, but they are increasingly being brought against companies in a variety of sectors, including energy, transport, food and agriculture, and finance.

In March 2021, the Federal Constitutional Court required the German legislature to amend the Climate Protection Act.

The court considered the climate protection measures in the Act to be insufficient to protect future generations, finding the Act to be unconstitutional in this respect.

The court assumed a constitutional duty of the state to protect citizens from climate change risks, thereby making climate protection actionable to a certain extent.

Increasingly, claimants are also seeking to compel companies to meet certain climate targets through private law actions.

In May 2021, the District Court of The Hague issued a widely publicised ruling ordering the oil and gas company Shell to reduce its global emissions by 45 per cent by 2030 compared to 2019.

It is noteworthy that the court not only looked at Shell's own emissions, but also assumed a best-efforts obligation on Shell to work towards a reduction of emissions in business relationships with its suppliers and end users.

The ruling is under appeal.

Following the Shell ruling, the main claimant in the case, the NGO Milieudefensie, called on 30 other companies, including the airline KLM, the bank ABN Amro and the consumer goods manufacturer Unilever, to submit emission reduction plans.

In Germany, four climate claims were filed in 2021 that attempt to follow up on the argument of the Federal Constitutional Court by making a right to climate protection actionable in relation to companies.

The claims, which were filed by the NGO Deutsche Umwelthilfe (""DUH"") and Greenpeace, are directed against BMW, Mercedes and Volkswagen, demanding that the German auto manufacturers commit to a tighter carbon emissions budget, and discontinue the worldwide sale of cars with internal combustion engines by 2030.

A climate change claim has also been filed against Wintershall Dea to prevent the Norwegian gas and oil producer from developing any new natural gas or oil production after 2026.

On 13 September 2022, the Stuttgart Regional Court dismissed the action against Mercedes at first instance.

The court found insufficient proof that the claimants' personal rights would be impacted.

In addition, the court emphasised that the courts are prohibited from taking legislative decisions.

DUH filed an appeal.

In the Shell case, the Dutch court relied on a provision of Dutch law, pursuant to which a breach of an unwritten standard of care (in this case, among other things, knowledge about climate change) can result in liability towards third parties.

German tort law does not have such a far-reaching general clause.

Instead, claimants in a German claim must show: (i) damage to a legal interest protected under the German Civil Code; (ii) a causal link between a company's actions and the alleged damage; and (iii) that the respondents are liable, even while acting in compliance with applicable law.

It is unlikely that these hurdles can be easily overcome.

Compensatory claims The best-known climate-related compensatory claim in Germany is that of Saúl Lliuya's (""SL"") against RWE, the German multinational energy company."
Hengeler Mueller,Climate litigation as a business risk,"Compensatory claims The best-known climate-related compensatory claim in Germany is that of Saúl Lliuya's (""SL"") against RWE, the German multinational energy company.

As a resident of Huaraz, a Peruvian city situated below a glacial lake, SL claims that climate change has caused increasing glacial melt, which has led to a significant rise in the lake’s water level.

In order to protect Huaraz from flooding, various protective measures have to be implemented.

SL is seeking a declaration that RWE will contribute to the cost of these measures.

The lawsuit claims that the share of the costs to be paid by RWE must be based on the proportionate share of greenhouse gas emissions caused by RWE worldwide since the beginning of industrialisation, which is claimed to amount to 0.47 per cent.

On appeal, the Hamm Higher Regional Court considered the action to be sound in principle and has since entered the evidentiary stage.

It remains to be seen whether German courts will find a causal link between emissions, climate change and the alleged damage, and how they will approach the fact that the emitter complied with applicable law.

Conclusion Climate litigation is on the rise (and is widely anticipated to increase further, particularly as a result of extreme weather events), presenting a real risk for companies.

Potential climate claims pose significant strategic, financial and reputational risks.

A transition plan detailing the company's intended contribution to achieving the Paris climate goals may help to limit these risks."
Hengeler Mueller,Diversity within the Firm: Our Commitment to a More Colourful Future,"One of our goals as a law firm is to attract exciting personalities to work with.

Valuing diversity in all its dimensions, we treat one another based on mutual respect and using constructive communication.

Combined with a high degree of diversity, this creates new perspectives and benefits all of us – both in the quality of our work and in how we interact with each other.

For that reason, fostering greater diversity among our staff is an important objective for everyone at Hengeler Mueller.

To achieve this, we have built strong internal and external networks in addition to starting various initiatives and organising events to promote an inclusive environment.

We pursue our goals in a strong, dedicated and collegiate team: equal opportunities for women and men are a matter of course, continuously supported and fostered through various programmes that further equalise career opportunities.

This includes monthly lunch meetings for female lawyers, as well as our annual Hengeler Mueller Women's Day, during which we encourage dialogue between female lawyers through training, workshops and panel discussions.

We have also welcomed partners from our Best Friends network at these events.

In addition, we organise special hiring events for female lawyers, a leadership programme for women in management positions in cooperation with our Best Friends affiliates, and professional coaching for selected female associates with the aim of strengthening and advancing their careers.

HM Pride is an internal LGBTQIA+ and friends network at Hengeler Mueller.

This network’s mission is to support and foster an inclusive working environment in which everyone feels at ease and can develop their potential as well as contribute their individual talents – regardless of their sexual identity or orientation.

International networking is also important to us, which is why we work closely with our international Best Friends affiliates.

For example, we organise regular LGBTQIA+ inclusion events together with our Best Friends.

Our Cultural Diversity network regularly initiates a range of different formats and events to promote intercultural dialogue.

For example, this network has set up a Cultural Calendar – using a blog to draw attention to various holidays and festivals of all cultures on the firm-wide intranet in order to strengthen cultural awareness in our day-to-day work even further.

We have arranged 'Diversity Talks’ internally for years, typically attracting around 100 participants.

At these events, we invite interesting personalities from outside the firm who are strongly committed to diversity and inclusion to describe their own careers and share with us their experiences, perspectives and ideas for promoting a diverse and inclusive workplace.

For many years, we have been active in the German employer initiative ' Charta der Vielfalt ' and since the start of 2023, we have also been a partner of the General Counsel for Diversity & Inclusion (GCD&I).

We are committed to the initiative's guiding principle: ""We promote Diversity, Equity and Inclusion in the Legal Sector"".

Through GCD&I, we are expanding our commitment to greater diversity beyond our firm and in particular to our relationship with our clients' legal departments.

We embrace diversity in all of its dimensions – be it gender, cultural and social background, ethnicity, religion/worldview, sexual orientation, disability, or age.

Together with our Best Friends affiliates, we are also part of the Stonewall Global Diversity Champions programme.

Our participation in various work shadowing programmes and our support for short-term internship programmes also contribute to strengthening our firm’s intercultural diversity.

For example, we took on interns from Ukraine at short notice in 2022 via the 'Safe Harbour' programme.

The same programme also helped female VIS MOOT students leave war zones in Ukraine."
Hengeler Mueller,Diversity within the Firm: Our Commitment to a More Colourful Future,"For example, we took on interns from Ukraine at short notice in 2022 via the 'Safe Harbour' programme.

The same programme also helped female VIS MOOT students leave war zones in Ukraine.

Since 2023, we have also been supporting the internship programme of the German Foundation for International Legal Cooperation (IRZ), which works on behalf of the German government.

Under this framework, we host interns for several weeks, who familiarise themselves with life in the German legal profession.

During short lunch talks, our lawyers also gain an insight into the legal system in their countries of origin.

Following our first ever diversity survey in 2022, we adopted a number of suggestions and implemented them over the course of the past year.

For example, the establishment of a distinct scholarship programme for students with obstacles in their educational background was one suggestion that emerged from the survey.

The first round of 'Chancen@Hengeler' scholarships started in the 2023 winter semester.

Eight students who, for various reasons, such as coming from a family without university experience, having a refugee background or for financial reasons, do not have the same start in life as their fellow students, will receive financial and non-material support.

In addition to financial assistance, they will receive personal guidance from a mentor and access to exclusive law firm events.

These are just a few of the initiatives we are pursuing to promote diversity within our firm.

We are very much aware of our social and corporate responsibility and will therefore continue to develop initiatives in this area in the coming years."
Hengeler Mueller,Our new partners and counsel with effect from 1 January 2024,"Hengeler Mueller is delighted to announce that Clemens Höhn (M&A, Berlin), Jörg Meinzenbach (Energy Law, Dusseldorf) and Michael Schramm (Public Law, Dusseldorf) have been promoted to partners with effect from 1 January 2024.

At the same time, Tobias Begemann (M&A, Berlin), Christian Dankerl (Antitrust, Brussels), Malte Frank (Competition/EU Law/Dispute Resolution, Berlin), Daniel M. Gajek (Compliance, Frankfurt), Felix Klüter (Dispute Resolution, Frankfurt), Moriz Mertz (Dispute Resolution, Munich), Thomas Ruthemeyer (Public Law, Berlin), Maximilian Silm (Dispute Resolution, Berlin), Philipp Scheibenpflug (Dispute Resolution, Frankfurt) and Marc Zuber (Corporate, Dusseldorf) will become counsel at Hengeler Mueller.

Thomas Müller and Bernd Wirbel, Co-Managing Partners of Hengeler Mueller, said: ""We congratulate all new partners and counsel and are delighted to continue working with these 13 outstanding lawyers in the future.

The appointments are further proof of the exceptional young talent we foster in all our practice areas that are key both to us and to our clients.

At the same time, this year we are once again strengthening the firm's growth areas.

We are convinced that our new partners and counsel will make an important contribution to Hengeler Mueller's future success.""

Clemens Höhn advises companies and investors on M&A transactions.

In particular, he advises on transactions with innovative and fast-growing technology companies, including venture capital and growth financings.

Jörg Meinzenbach advises German and international clients on all areas of energy law.

His practice focuses on representation of clients in proceedings before regulatory authorities and courts, M&A transactions and other complex regulatory matters.

In addition, he advises companies on German and European competition law, particularly in regulated sectors.

Michael Schramm has a broad practice in the area of public law and regulated industries.

He advises investors and companies in all public-law and other regulatory matters, including EU and constitutional law.

He has a particular focus on chemicals and other areas of environmental law, data privacy and IT law as well as health-care regulation and export control law/sanctions.

Michael has broad experience in both ongoing advice as well as M&A transactions and restructuring projects.

Tobias Begemann acts for corporates, private equity and other financial investors on M&A transactions.

His practice has a particular focus on carve-out transactions and co-investments.

In addition, he advises on general corporate matters and reorganisations.

Christian Dankerl advises clients on antitrust and merger control cases.

He focuses on M&A-related merger and foreign subsidies control matters.

He represents clients before the European Commission, the German Federal Cartel Office and the European and German courts, as well as in alternative dispute resolution.

Malte Frank advises on all areas of competition law, with a focus on dominance and merger cases, and EU law.

He also works on litigation cases across different fields of law, in particular on cross-border litigation.

Daniel M. Gajek advises companies comprehensively on internal investigations and investigations conducted by German and foreign criminal prosecution and regulatory authorities into potential compliance violations.

He also advises on corporate law with a focus on corporate governance, enhancement of group-wide compliance programs and directors' liabilities issues.

Felix Klüter represents companies in complex disputes in German courts, as well as arbitration and alternative dispute resolution proceedings.

He specialises in the defense of product liability and warranty cases.

Moreover, he advises on the forensic review of securities transactions around dividend record date (""cum/ex"" and ""cum/cum"").

Moriz Mertz' practice covers a broad spectrum of commercial litigation, arbitration and alternative dispute resolution."
