Firm,Publication Title,Chunk Text
ADVANT Beiten,DRAFT BILL FOR THE MODERNISATION OF ARBITRATION LAW,"Today, the Federal Ministry of Justice presented the Draft Bill on the Modernization of the German Arbitration Law .

The objective of the reform is to strengthen Germany's attractiveness as a place for arbitration.

The Federal Minister of Justice, Dr. Marco Buschmann, explains: ""We want to improve the conditions for dispute resolution made in Germany – in the interest of our companies and in the interest of our excellent lawyers.

We have put together a package of measures to achieve this.

The legislative plans for the introduction of Commercial Courts and the strengthening of negotiations via video in the civil justice are already well advanced.

The modernization of the arbitration law is another important measure.

Private arbitral tribunals are very popular in commercial transactions.

Many companies value Germany as a place for arbitration.

With our reform we want to make Germany as a place of arbitration even more attractive.

Our recipe: less formalism, more openness for digital solutions.""

Before presenting the bill, the Federal Ministry of Justice had identified possible reforms for examination and public consultation in April 2023.

For a more detailed discussion see our blog: Reform of German Arbitration Law: Initial Key Point | Advant Beiten (advant-beiten.com) .

According to the draft bill, the following proposals, among others, are to be implemented into the German Arbitration Law in the 10th book of the German Code of Civil Procedure: Arbitration agreements shall be valid even if parties have not agreed on them in writing or any other form.

Commercial business may even impliedly conclude arbitration agreements; Arbitral awards shall be published more easily.

If no party expresses an objection against such a publication, the consent is to be assumed (opt-out rule); As a matter of clarification, the current practice of virtual hearings in arbitration proceedings shall be included into the German Arbitration Law; Arbitral awards shall be feasible only as electronical documents; An arbitral tribunal shall explicitly be allowed to include dissenting opinions in the arbitral award; State court proceedings in conjunction to arbitration proceedings, which were originally allocated to the Higher Regional Court, can be allocated to Commercial Courts by the respective federal state; In state court proceedings for the challenging or enforcement of an arbitral award, arbitral awards in the English must not be translated into German anymore.

This also applies to submissions and other documents from arbitration proceedings.

We will keep you up to date on the Draft Bill and the upcoming discussions.

Dr Ralf Hafner Dr Tobias Pörnbacher"
ADVANT Beiten,"Once in the commercial register, always in the commercial register?","Once submitted for registration in the commercial register, documents cannot be redacted or deleted.

Publication of the register prevents this.

However, since 23 December 2022, documents in the commercial register can be exchanged under certain circumstances.

JUDGMENT OF THE HIGHER REGIONAL COURT (OLG) OF NAUMBURG OF 11 JANUARY 2023 IN CASE NO. 5 WX 14/22

Since 1 August 2022, anyone can view the commercial register for free under www.handelsregister.de.

The commercial register has always been open to the public, but users previously had to pay a fee to download documents.

Now everything is available for free at just a click.

This has minimized the hurdles to viewing the register.

Free access applies to all entries in the Commercial, Cooperative Society, Partnership and Associations Registers.

It covers all documents submitted to the Commercial Register for registration, regardless of whether the documents were provided to fulfil mandatory legal provisions or went beyond these requirements.

Often, such documents contain sensitive information, which was provided by mistake together with the application for registration in the commercial register, without consideration or sufficient (legal) knowledge of the consequences.

Typical examples are the private addresses of shareholders or directors, death certificates, or unredacted minutes of shareholder meetings, which provide much more than the mandatory information for notification.

Until now, there has been no legal basis for changing a document or deleting or redacting sensitive information once it has been submitted to the commercial register.

Documents placed in the register folder could not be changed or substituted to preserve the verity of the register.

Since 23 December 2022, the Commercial Registries Regulation (Handelsregisterverordnung) has contained a new rule, providing a legal basis for the exchange of documents once they have been placed in the register folder.

If an original document contains information, which is not mandatory, it is now possible to exchange this document with one that omits the additional, non-mandatory information.

Upon receiving an application from a notary, the register court will act.

The court will note the date of the submission of the original document and the fact that the documents have been exchanged on the new document.

This ensures it is obvious that the exchanged document replaced an original document.

It remains unclear whether whole documents can be deleted, where they contain only non-mandatory information.

However, the new provision does not allow for changes in the form of redaction or deletion to the document.

The OLG Naumburg recently dealt with the issue of deleting or redacting sensitive information from the commercial register.

Background of the case The founding shareholders and directors sought the redaction of their signatures on the certificate of incorporation, the application for registration in the commercial registry, the list of shareholders, and the minutes of the resolution appoint the directors – without success.

The OLG Naumburg rejected the application.

In its reasoning, OLG Naumburg held that the applicants could not base their request for deletion on either data protection provisions or fundamental rights.

Correctly: to preserve the truth of the register, documents placed in the commercial register folder generally cannot be changed.

It is not the role of the court holding the register to later interfere with documents once they have been released.

The application for redaction of the signatures can also not be based on the newly introduced § 9 (7) of the Commercial Register Regulation.

The applicants have not requested the exchange of any documents falling under the provision, but have instead requested changes to the original documents.

Comments and practical tip

It is now possible to exchange documents containing information that is sensitive and does not require disclosure."
ADVANT Beiten,"Once in the commercial register, always in the commercial register?","Comments and practical tip

It is now possible to exchange documents containing information that is sensitive and does not require disclosure.

However, the court holding the register will not act on its own motion.

Affected parties must be active.

If you wish to see sensitive information deleted from documents that can be viewed in the commercial register, you should check whether the information requires disclosure.

Where and to the extent that this is not the case, you can consider an exchange of documents.

It is not yet clear whether the new provision allows whole documents to be removed from the accessible documents in the commercial register where the document does not contain any information necessary for legal transactions.

Whether there is an enforceable claim to an exchange of documents based on fundamental rights is also disputed.

The courts have not yet decided this issue.

The OLG Naumburg refused to answer this question, leaving it open as it was not relevant to its judgment.

It therefore remains to be seen how the register courts will position themselves on this issue.

In any case, you should contact the relevant register court to discuss the possibility of a document exchange.

Conclusion: forewarned is forearmed.

In the future, when you are drafting documents to be submitted to the commercial register for registration, you should check the information in the documents and limit it to that which is strictly necessary.

Where mistakes were made in the past, you should contact the commercial register and apply to have any problematic documents exchanged.

Dr Barbara Mayer Lisa Werle"
ADVANT Beiten,Recent and Future Developments in Arbitration,"The year 2024 has only just started but we already have some developments in arbitration, which are worth mentioning.

Some arbitration institutes have amended their arbitration rules, some changed their fees and others have introduced new platforms.

The next months will, furthermore, bring some interesting changes in legislation.

We are looking forward to the year 2024 as it holds the potential to have a big impact on arbitration, especially in our home jurisdiction, Germany.

In the following we highlight some of the most notable developments.

Reform of the German arbitration law (10 th Book of the Code of Civil Procedure)

The German Federal Minister of Justice, Dr Marco Buschmann published key points on a reform of German arbitration law in April 2023.

We summarized the key points in our blog article of 19 April 2023 ( Reform of German Arbitration Law:

Initial Key Point | Advant Beiten (advant-beiten.com) ).

Since then the Bundesrechtsanwaltskammer ( Statement No 21 ) and the German Arbitration Institute (DIS) ( Statement on the key points ) submitted statements to these key points in May 2023.

If the Federal Ministry of Justice pursues the plan to reform the German arbitration law, there will be a first draft bill in 2024.

We are looking forward to such a draft bill and to see what the suggested reforms will be.

Tribunal Secretary Platform of ASA and Jus Connect

The Swiss Arbitration Association has announced that it will unveil a platform together with Jus Connect ( ASA's Announcement ).

The platform shall facilitate contact between arbitrators and individuals who are open to act as tribunal secretary.

Furthermore, there will be templates and a database for tribunal secretaries.

The database and the search for suitable individual shall be open to the entire arbitration community.

We welcome this initiative and hope to see more diversity and inclusion in the field of arbitration by making tribunal secretaries more visible.

New Arbitration Act in the UK London's role as an arbitration hub lost some importance due to the Brexit.

UK Government tries to restrengthen the importance by overhauling the Arbitration Act 1996.

The new act shall simplify the procedure, reduce costs and delays, protect arbitrators from unreasonable lawsuits against them and support the use of emergency arbitration.

Currently the draft bill is still in process of the UK's legislation, but the new arbitration act will most probably become effective in 2024.

The current status of the process can be followed on the website of the UK Parliament .

Higher Fees for Arbitrators in SCC Arbitration Proceedings

The SCC Arbitration Institute has introduced higher fees for arbitrators starting from 1 January 2024.

Since the last increase dates back to 2017, the SCC decided to adjust the fees for arbitrators between 5 and 15%.

The updated fees can be found on the SCC website .

Already in 2023, the SCC has introduced new arbitration rules .

These rules can now be accessed in more languages.

For example, a translation into German is available since the middle of 2023.

New SHIAC Arbitration Rules

On 1 January 2024 the new arbitration rules of the SHIAC became effective.

These new arbitration rules will benefit the growing demand of arbitration on the Chinese and global market.

They include several special rules, inter alia , for online arbitration, aviation, and data.

These rules shall increase the procedural options of parties, such as options for consolidation, third-party inclusion, interim measures, and emergency arbitration.

A brief summary of the new arbitration rules can be found on the website of the SHIAC.

New CIETAC Arbitration Rules On 1 January, the new arbitration rules of CIETAC became effective.

These revised arbitration rules are a further step to modern arbitration rules and applying the international standard to its rules."
ADVANT Beiten,Recent and Future Developments in Arbitration,"These revised arbitration rules are a further step to modern arbitration rules and applying the international standard to its rules.

Notable among others are the new competence of tribunals to decide on their own jurisdiction, the possibility of early dismissal, a provision on third-party funding and provisions on ad hoc arbitration.

The latter is most notable since ad hoc arbitration proceedings are not acknowledged by the Chinese arbitration law but might be in future.

These aforementioned topics are not meant to be conclusive but to be a brief highlighting of current changes and developments.

We are looking forward to seeing the new arbitration rules in action.

Especially for the German arbitration landscape, it could be an interesting year that may have an influence on German arbitration proceedings for the next years.

Hopefully, any of the developments will lead to a more diverse and more practicable toolbox for the resolution of domestic and cross-country disputes.

Dr Ralf Hafner Tobias Pörnbacher"
ADVANT Beiten,The AI Act - The Agreement and What It Means,"As Ursula von der Leyen, President of the European Commission, put it: This is a historic moment.

On 8 December 2023, after a three-day-marathon of negotiating, the European regulation efforts were awarded with a preliminary political agreement on the first comprehensive European act on artificial intelligence: the AI Act.

It is not, as from time to time even the EU itself claims, the first regulation on AI worldwide.

With an executive order in the United States and an Act on Automated Decision-Making in China, corresponding regulations already exist in other parts of the world.

The AI Act aims to ensure that only AI systems which are both safe and respect the fundamental rights and values of the EU are brought onto the European market and are used in the EU.

Still, even though an agreement has been reached, the outcome of the negotiations was announced although there is not yet a consolidated text to present.

The political agreement will be put into a final text over the coming months.

To this end, a number of technical negotiation meetings have been scheduled until the end of February.

As some of the information currently available varies widely , we will have to wait until the final text will be published in the first quarter of 2024.

The overview below presents the most significant known regulations.

Definition of an AI System

The new AI Act will include an amended definition of AI systems compared to the European Parliament's last proposals, which is close to the OECD's definition.

The OECD's definition is as follows: “ An AI system is a machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments.

Different AI systems vary in their levels of autonomy and adaptiveness after deployment .”

This definition is particularly criticised because it is extremely broad and therefore even includes simple auto-correction or Excel functions, for example.

In this respect, the final wording of the Act including its recitals which, as we know, may often be used to fine-tune certain terms must be awaited.

Risk-based Approach The Regulation, which is based on a proposal by the EU Commission in April 2021 and is part of the EU's digital strategy, follows a risk-based approach.

It categorises AI systems into different groups depending on the risk they pose: from minimal risk to high-risk and even banned AI systems.

According to this approach, six principles apply to all AI systems.

AI systems should (1) enable human agency and oversight, (2) be technically robust and safe, (3) comply with privacy and data protection regulations, (4) be transparent, (5) ensure diversity, non-discrimination and fairness and (6) ensure social and environmental well-being.

Banned AI Systems AI systems involving an unacceptable risk will be banned in the EU.

These include, for example, systems using manipulative techniques, systems that exploit weaknesses or vulnerabilities, social scoring and databases based on mass facial recognition.

Until the very end there was an intense debate as to whether AI for facial recognition should be permitted or not.

While individual countries, such as France, supported the use of AI for facial recognition, arguing that it could be used to ensure security around major events such as the 2024 Olympic Games, most remained sceptic.

Despite a tough battle over several days of negotiations, a complete ban on real-time biometric identification could not be achieved against the massive resistance of the member states.

After lengthy discussions, the bans involving the recognition of emotions and remote biometric identification were adjusted.

The ban on AI systems for emotion recognition now only applies in the workplace and in education."
ADVANT Beiten,The AI Act - The Agreement and What It Means,"The ban on AI systems for emotion recognition now only applies in the workplace and in education.

It will however still be permissible to use such systems for medical or safety reasons, for example to monitor pilot fatigue.

The regulations on remote biometric identification have also been amended.

Both 'real time' and 'post' identification will remain banned.

Exceptions are expected for the prosecution of criminal offences in clearly defined cases.

The AI Act also includes a catalogue of protective measures to prevent potential misuse.

High-risk Systems A large part of AI systems will be categorised as high-risk AI systems.

These are, for example, AI based medical devices or autonomous vehicles.

In general, education, critical infrastructure, migration, asylum, or border controls are considered critical high-risk areas.

High-risk AI systems will have to comply with a number of requirements and obligations to be approved in the EU.

For example, conformity assessments must be carried out and a quality and risk-mitigation system must be integrated.

High-risk AI systems will also have to be registered in the corresponding EU database.

The requirement to carry out an impact assessment for fundamental rights remains unchanged, although this will now only apply to public organisations and private bodies that provide essential public services, such as hospitals or banks.

Further changes have been made to the responsibilities and the roles of the various players.

Further, a filter system has been introduced.

An AI system can lose its classification as a high-risk system if it fulfils one of a total of four conditions, for example if it (1) is intended to monitor or improve a human activity or (2) is only used to recognise decision-making patterns or deviations from previous decision-making patterns, (3) is only used to carry out preparatory tasks for a human activity relevant for critical applications or (4) is only intended to carry out procedural tasks.

AI Systems with Limited Risk Specific transparency obligations will apply to AI systems with limited risk.

These will, above all, include the information that a certain content has been generated by AI.

The aim is to ensure that users can make informed decisions about further use.

Generative AI Also in the field of generative AI there will be some changes, unsurprisingly, as these provisions were the most controversial.

While the European Parliament ‑ not least in view of ChatGPT - supported a regulation of generative AI systems, the Commission had recently been of the opinion that these AI systems did not require a regulation.

It was instead sufficient if manufacturers submit to voluntary commitments.

These AI systems are now called 'general purpose AI' instead of 'foundation models'.

The definition of general purpose AI was amended so that it now only includes large generative AI systems.

“‘General purpose AI model’ means an AI model, including when trained with a large amount of data using self-supervision at scale, that is capable to competently perform a wide range of distinct tasks regardless of the way the model is released on the market.”

Developers of general purpose AI models will have to comply with certain minimum requirements, such as creating technical documentation, providing information for downstream providers and providing information about training and testing procedures.

They must also comply with copyright regulations and the products generated must be labelled with a watermark.

Large AI systems posing systemic risks, so-called 'systemic risk AI' or top tier models that exceed a certain computing power (1025 FLOPs) during training, must fulfil additional obligations.

These include, for example, setting up a risk-mitigation system and maintaining an appropriate level of cyber security.

Details of this have not yet been finalised."
ADVANT Beiten,The AI Act - The Agreement and What It Means,"These include, for example, setting up a risk-mitigation system and maintaining an appropriate level of cyber security.

Details of this have not yet been finalised.

Still, it is assumed that OpenAI's GPT4 and Google's Gemini will be considered to be systems with systemic risk.

Models of the European developers Aleph Alpha and Mistral on the other hand will most likely not be categorised as AI models with systemic risk based on their computing power.

Honi soit qui mal y pense.

Linking transparency requirements to computing power is heavily criticised, as the capability alone says little about the risks of an AI system.

In order to be able to make adjustments as technology develops, the Commission will be able to adjust the current threshold and also define additional criteria.

Open Source Models

The previous proposal also excluded models based on open source licences from the AI Act.

According to the recent agreement, only those open source generative purpose AI systems that are categorised as systemic risk AI systems are to fall within the scope of the AI Act.

They are also not exempt from the requirements for high-risk AI systems.

This is to be welcomed, as the mere fact that an AI model is based on open source licences or not says little about the risk it poses.

Copyright Requirements According to the regulation, AI developers will have to disseminate a copyright policy and a detailed summary of the content they have used to train their generative purpose AI models.

This transparency requirement is intended to let authors determine whether their work has been used.

It has not been specified yet what exactly 'detailed' means.

If the information provided so far is to be believed, the text and data mining limitation for generative AI is explicitly recognised.

This had been controversial.

The background: Interference with copyright exploitation rights is only permitted if the rights are exempted by limitation provisions.

The limitations for text and data mining, i.e. the automated analytical technique of works to obtain information about patterns, trends and correlations, are relevant for the multiplication which happens in the training of AI.

According to the text and data mining limitation, the reservations of rights holders in particular must be observed.

Penalties The penalties under the AI Act have been amended again, but remain differentiated in proportion to the seriousness of the irregularity.

For example, a breach of the ban on certain systems and non-compliance with data requirements may be penalised with up to 7% of the company's global annual turnover or EUR 35 million.

Enforcement and Authorities An AI Office is (already) being set up in the European Commission to enforce the regulation of generative purpose AI systems.

All other AI systems will be monitored by the competent national authorities.

In order to ensure the uniform application of legislation, they will meet regularly in a European Committee on Artificial Intelligence.

Right to Lodge a Complaint Another new addition is the possibility for natural and legal persons to lodge a complaint with the competent national authority about non-compliance with the requirements of the AI Act.

Entry into Force of the AI Act In principle, the majority of the AI Act's catalogue of obligations will apply 24 months after its entry into force.

However, the current draft of the AI Act provides for certain obligations to apply earlier.

For example, the ban on certain systems will take effect just six months after the Act comes into force, which means it is expected to apply as early as over the course of 2024.

The requirements for generative purpose AI systems will apply just 12 months after the AI Act comes into force.

It is therefore highly advisable to review the provisions of the AI Act at an early stage, not least in view of the fact that the conversion of any systems may well take some time."
ADVANT Beiten,The AI Act - The Agreement and What It Means,"It is therefore highly advisable to review the provisions of the AI Act at an early stage, not least in view of the fact that the conversion of any systems may well take some time.

Next Steps As mentioned at the beginning of this post, the AI Act is not yet final - and it may still be a while.

Although the recently announced political agreement on the key points has been reached, the technical aspects of the legal text still have to be negotiated in detail over the next few weeks.

It may take a while for the bits and pieces to be divided and negotiated, with a lot of the details being figured out later.

Finally, the EU bodies must then approve the final text of the regulation.

As it is a regulation, it applies directly in all Member States and does not need to be transposed into national law.

Conclusion With the AI Act, the EU intends to keep what it calls an 'extremely delicate balance' between boosting innovation and uptake of AI in Europe on the one hand and respecting the fundamental rights of EU citizens on the other.

However, the final document which contains more than 250 pages comes across as a bureaucratic nightmare, imposing high documentation requirements on many companies.

Due to the vagueness of many regulations, there will be a range of grey areas that could lead to uncertainties and, in the worst case, to considerations as to whether the use of AI should initially be avoided against this background until a uniform application practice of the competent authorities emerges.

Nonetheless, the EU's attempt to address this major contemporary issue and to take account of dynamic developments by continuously adapting the provisions, as explicitly envisaged, is to be welcomed in principle.

Dr Peggy Müller"
ADVANT Beiten,The Year of the DSA – Twelve quick bites of wisdom on the EU’s Digital Services Act,"The EU Digital Services Act („DSA“) will enter into full force on 17 February 2024.

If you don’t already know what that means, you should at least be aware of the following:

1.

Framework The DSA creates a general legal framework for online intermediary services in the EU – that includes hosting services and online platforms.

This framework is to be further specified by more specific provisions such as in the proposed Regulation laying down rules to prevent and combat child sexual abuse (CSAM Regulation).

2.

Timeline The DSA is fully applicable as of 17 February 2024.

Non-compliance may result in fines of up to six percent of the group’s annual turnover.

3.

Intermediary services Only services offered as an intermediary service fall under the DSA (which on the one hand entails liability privileges, but on the other hand obliges the service providers to follow new due diligence obligations).

Intermediary services include hosting services and online platforms.

4.

Liability privileges The DSA retains the liability privileges for intermediary services introduced by its predecessor, the e-Commerce Directive.

Intermediary services do not have a general monitoring obligation for third-party content under the DSA.

(But the DSA does not overrule the ECJ case-law on liability for copyright infringements.)

5.

Assessment The due diligence obligations depend on the type of intermediary service that is offered.

The DSA distinguishes between “mere conduit”, “caching”, and “hosting” services.

Online platforms are a new subcategory of hosting services with plenty of additional obligations.

6. Point of Contact Intermediary services have to designate a point of contact for matters about DSA compliance and make its contact information easily accessible.

7.

Terms and Conditions The DSA imposes minimum specifications in general terms and conditions as to how the intermediary service provider moderates third-party content.

The provisions must be transparent and easy to understand.

Graphic elements such as icons can be used in addition to design user-friendly provisions.

8.

Transparency reports Providers of intermediary services must publish transparency reports at least once a year.

The report must contain information on any content moderation as defined in the DSA during the relevant period.

9. Notice and Action Mechanism If you provide a hosting service, you are obliged to implement a notice and action mechanism for illegal content.

No such information is necessarily required for content that is (only) against your terms, but not illegal.

Users affected by restrictions must receive a clear and specific statement of reasons.

10.

No targeted advertising of minors based on profiling The Digital Services Act prohibits online platforms the targeted advertising of minors based on profiling.

In addition, it bans targeted advertising based on profiling using special categories of personal data, such as sexual orientation or religion.

11. Know your business customer Marketplaces allowing consumers to buy online must obtain certain information to trace the trader and verify such information.

The platform must be designed in a way that traders can comply with their information obligations (e.g., the extensive list of obligations in the Consumer Rights Directive).

12.

Specific obligations for very large online services Online platforms with more than 45 million monthly active users within the European Union can (and likely will) be designated by the Commission as a very large online platform (VLOP).

So far, the following services have been designated as VLOPS: Alibaba AliExpress, Amazon Store, Apple AppStore, Booking.com, Facebook, Google Play, Google Maps, Google Shopping, Instagram, LinkedIn, Pinterest, Pornhub, Snapchat, Stripchat, TikTok, Twitter, Wikipedia, XVideos, Youtube, Zalando).

Amazon and Zalando have taken legal action against this designation."
