Firm,Publication Title,Chunk Text
Cooley,FCC ‘Network Neutrality’ Order Shakes Up Broadband Privacy,"As described in our May 8 client alert , most of the discussion regarding the new network neutrality order from the Federal Communications Commission (FCC) has focused on the FCCs decision to reinstate rules the agency adopted in 2015 and then overturned in 2017.

Equally important, though, are the significant implications the order will have for customer privacy.

The FCCs conclusion that broadband internet access service (BIAS) should be treated as a telecommunications service will subject broadband providers to different requirements than those that have governed them since 2017, will create uncertainty about how to comply with those requirements and likely will lead to additional rulemaking activity at the FCC  further increasing uncertainty in the medium term.

FCC now in charge of BIAS privacy Telecommunications carriers are exempt from Federal Trade Commission (FTC) privacy rules and instead are regulated at the federal level entirely by the FCC.

Accordingly, the FCCs determination that BIAS is a telecommunications service shifts the regulation of BIAS privacy from the FTC to the FCC.

In recognition of this shift, the FCC and the FTC have entered into a new memorandum of understanding addressing how they will divide their jurisdiction and cooperate in regulating internet access services.

The decision to reclassify BIAS  mass-market consumer internet access service  as a telecommunications service does not affect the FTCs authority over non-BIAS offerings.

Thus, privacy for internet access services provided to enterprise customers or as specialized offerings customized for particular customers or uses will continue to be regulated by the FTC.

In other words, different types of internet access service will be subject to different privacy requirements, depending on what customers are being served and how the service is provided.

FCC privacy requirements for BIAS providers The basic privacy requirements for telecommunications carriers are contained in Section 222 of the federal Communications Act, which limits the ways in which customer information can be used by telecommunications carriers.

Section 222 applies to information about the quantity, technical configuration, type, destination, location and amount of use ofa service by telecommunications customers.

(This information is known as customer proprietary network information, or CPNI.)

As it did when it adopted the last round of network neutrality rules in 2015, the FCC decided it would not forbear from applying Section 222 to BIAS.

Under Section 222, BIAS providers will be required to obtain permission to use CPNI to market their services and will not be allowed to use CPNI they obtain from other carriers for marketing.

The FCC did not, however, apply its own privacy rules for telecommunications carriers to BIAS, concluding that those rules were not well adapted to internet access services.

This means BIAS providers will have relatively little guidance from the FCC concerning what information qualifies as customer information when the customer is purchasing BIAS, what kind of notices have to be provided to customers, and how to obtain and maintain consent to use customer data.

BIAS providers also will not be subject to the FCCs data breach notification requirements, which are part of the FCCs broader privacy rules.

While the FCC could provide BIAS providers with guidance on how to comply with Section 222, it is not likely that any guidance will be made available in the near future.

Proposed BIAS privacy rules could come soon Following the 2015 order, the FCC adopted broad reforms of its privacy rules, but those rules were overturned by Congress through the Congressional Review Act (CRA), and the FCC is prohibited from readopting those or substantially similar rules.

However, the FCC likely will try to adopt new rules to cover BIAS, and particularly, to fill in the gaps concerning customer notice and consent."
Cooley,FCC ‘Network Neutrality’ Order Shakes Up Broadband Privacy,"However, the FCC likely will try to adopt new rules to cover BIAS, and particularly, to fill in the gaps concerning customer notice and consent.

The FCC has not signaled what it will do, but one possibility is that it will propose rules closely resembling the existing telecommunications carrier rules, with changes necessary to reflect the differences between BIAS and other telecommunications services.

Any FCC action to adopt new, BIAS-specific privacy rules likely will not occur until at least 2025, and it is likely that the privacy rules for BIAS would be subject to appeals, possibly including an argument that they are prohibited as a result of Congress overturning the 2016 rules under the CRA.

Until new rules go into effect, BIAS providers will have to rely on interpretations of Section 222 and any guidance the FCC issues.

For more information on privacy under the network neutrality decision and how the privacy ruling or other elements of the order will affect providers of mass-market broadband services, content and app providers, and other participants in the internet ecosystem, please reach out to one of the Cooley lawyers listed below."
Cooley,"FTC Continues to ‘Dispute’ Orange Book Device Patent Listings, But Still No Antitrust Enforcement","Over the last eight months, the US Federal Trade Commission (FTC) has focused on what it characterizes as improper Orange Book listings and the impacts of such listings on generic entry.

Most recently, on April 30, 2024, the FTC initiated a second round of patent listing disputes  this one targeting more than 300 device patent listings for 20 medicines approved to treat diabetes, obesity, asthma, chronic obstructive pulmonary disease (COPD) and hypoglycemia, covering injectors, inhalers and nasal sprays.

The FTC sent letters to the companies listing patents urging them to withdraw their listings from the Orange Book.

This action follows an FTC policy statement, in which the agency announced it would consider improper Orange Book listings to be antitrust violations , and a first round of listing disputes initiated by the FTC in November 2023 that focused on inhaler products and epinephrine injector pens.

The FTCs actions have drawn the attention of members of Congress, who have urged companies targeted by the FTC to delist their patents, notwithstanding the absence of guidance about whether these types of patents are properly listed pursuant to the statute.

A recent Congressional Research Service report questioned whether additional clarity [from Congress] is needed on the types of patents that may be listed.

Antitrust enforcement on the horizon?

The FTCs actions do not compel delisting and are not antitrust enforcement actions.

Rather, the FTC has sent letters to the listers pursuant to US Food and Drug Administration (FDA) regulations that permit anyone to question an Orange Book listing.

Targeted companies then have 30 days to elect to either delist or maintain their listings.

In response to the November 2023 listing disputes, a handful of companies did delist some patents.

The majority, however, recertified and maintained their patent listings, arguing that their patents satisfy the statutory listing criteria and, therefore, are in fact statutorily required to be listed.

In letters to Congress , these companies defended their listings as not causing any real-world anticompetitive effect.

To date, the FTC has not brought any antitrust enforcement actions against these companies.

A key question going forward is whether the FTC ultimately brings antitrust cases.

In its policy statement, the FTC took the position that improper listings are illegal, regardless of the reasonableness of the decision to list or its competitive effects.

If the FTC were to bring litigation on this basis without additional evidence, it would likely face significant challenges.

Of course, the FTC may well be investigating to identify and prioritize fact patterns on which to base future antitrust enforcement.

The strongest antitrust cases would be where the FTC is able to prove both that a patent was intentionally improperly listed and a causal link between the improper listing and delayed or deterred generic entry.

In the meantime, it is clear that the FTC continues to devote considerable resources to this issue.

The FTC has, among other things, recently submitted amicus briefs in lawsuits against Sanofi in the US District Court for the Western District of Pennsylvania and against Teva in the US District Court for the District of New Jersey, advocating that improper listings thwart competition and are actionable under the antitrust laws.

And, at a recent White House event, FTC Chair Lina Khan spoke about what she characterized as bogus patents listed in an obscure registry used to delay or block generics.

The FTC, however, is not questioning patent validity, only whether patents are properly listed, and listing patents  which is required by statute  is designed to facilitate generic entry by providing notice of relevant patents.

Moreover, generic entry is often tied to patent expiration, not the act of listing in the Orange Book.

Is this just about device patents?"
Cooley,"FTC Continues to ‘Dispute’ Orange Book Device Patent Listings, But Still No Antitrust Enforcement","Moreover, generic entry is often tied to patent expiration, not the act of listing in the Orange Book.

Is this just about device patents?

As was the case with the FTCs first round of patent listing disputes, in this most recent round, the FTC is focused on device patents that do not claim the specific drug.

The FTC has by now made clear its view that device patents that do not mention the drug are not listable, notwithstanding the long-standing ambiguity on this issue, the practice of listing these types of patents and the FDAs historic refusal to provide guidance.

In light of the FTCs focus on device patents that do not claim the drug, innovator companies that have marketed drug-device combination products, or that are developing such products, should assess whether any device patents may be vulnerable to FTC scrutiny.

Companies that are still developing intellectual property should consider claiming relevant drugs when drafting and prosecuting device patents.

Pharmaceutical companies also should recognize that the FTC appears likely to broaden its lens beyond device patents to include additional categories of patents it views as improperly listed.

FTC personnel have flagged, for instance, patents claiming manufacturing processes, packaging and distribution systems, such as REMS (Risk Evaluation and Mitigation Strategies), as potentially being the focus of future listing disputes, as we discuss in this November 2023 client alert .

The FDA also has committed to continue to engage with the FTC to identify and address potential efforts to impede competition.

What else do I need to know?

We have detailed key considerations in earlier alerts on this topic (see this October 2023 alert and this November 2023 alert ).

In the current environment, the FTCs focus on this issue warrants attention from pharmaceutical companies that have listed patents or that are prosecuting patents that may fall into a category the FTC deems not proper for Orange Book listing.

Cooleys antitrust, patent and Hatch-Waxman teams are available to advise on these and other issues at the intersection of antitrust and pharmaceutical patent enforcement."
Cooley,Five Considerations for Leveraging Third-Party AI Tools to Develop Products,"Is your company looking to develop products by leveraging third-party artificial intelligence tools such as large language models (LLMs) or application programming interfaces (APIs)?

That may be a great way to accelerate development, but its important to be aware of the risks.

Tune in as Cooley partner Tracy Rubin outlines five key considerations to take into account before integrating such tools into your business.

Cooleys AI Shorts are quick, easy-to-digest episodes that navigate the intricate relationship between AI and the law  ranging from data privacy to regulatory to employment issues and more."
Cooley,UK Government Publishes Response to Call for Evidence on National Security and Investment Regime,"On 18 April 2024, the UK government published the response to its call for evidence consultation on the functioning, scope and performance of the UK National Security and Investment (NSI) Act.

Please refer to our November 2023 alert outlining the key topics under consultation , as well as our February 2024 response to the consultation.

While the initial consultation document emphasised the desire to be as pro-business and pro-investment as possible to minimise the burden placed on companies and investors, the response to the NSI call for evidence places a stronger emphasis on the UK governments ability to scrutinise and intervene in transactions that could harm the UKs national security.

The focus is very much on fine-tuning the regime to ensure that it adapts to changing realities and keeps ahead of the national security risks facing the UK.

As such, while the response to the call for evidence sets out five proposed actions that will be taken forward by the UK government, these are better characterised as tweaks, rather than fundamental changes to the NSI regime.

Below, we summarise the key themes from the response, along with next steps.

What are the key themes and proposed actions?

Based on the 110 full responses to the call for evidence, the UK government has set out five key actions that it will focus on in the next six months:

1. The UK government will publish revised guidance on the exercise of its call-in powers as set out in its Section 3 statement.

Under the NSI Act, the UK government has the power to call-in a large number of transactions for review, even when the mandatory filing thresholds are not met.

The responses to the call for evidence included requests for more transparency and clarity on how the UK government exercises this call-in power  in particular, how it assesses the national security risks of a transaction and what areas of the economy it considers most sensitive.

The UK government will publish updated guidance (an updated Section 3 statement) covering these aspects.

Despite some respondents requests, the UK government also clarified that it would not introduce a fast-track process for certain types of acquirers at this stage, noting that transactions need to be reviewed on a case-by-case basis even where, for example, an acquirer has already had a prior transaction cleared through the NSI system.

The updated guidance should offer welcome insight into the current national security priorities of the UK government and provide businesses with more certainty on the risk of intervention on particular proposed transactions.

2.

The UK government will publish updated market guidance in May 2024.

In response to requests from respondents, the UK government expects to publish further guidance covering the application of the NSI Act to transactions involving academia and outward direct investment.

This updated guidance is expected to be published in May 2024.

3.

The UK government will launch a public consultation on the 17 sectors subject to mandatory notification by summer 2024.

Under the NSI regime, certain transactions involving companies with activities in one or more of 17 specified sensitive sectors must be notified to and cleared by the UK government before closing.

The call for evidence sought feedback from respondents on the addition of two further sectors, as well as on other changes to clarify the scope of the existing sectors.

Sixty-three percent of respondents provided feedback on this point and requested clearer definitions and/or guidance in relation to a number of the 17 specified sectors.

In particular, clearer explanations for the sector definitions of Artificial Intelligence and Advanced Materials were requested, and additional guidance for Defence and Critical Suppliers to Government was also invited.

In response, the UK government will launch a formal public consultation on updating the mandatory sector definitions by summer 2024."
Cooley,UK Government Publishes Response to Call for Evidence on National Security and Investment Regime,"In response, the UK government will launch a formal public consultation on updating the mandatory sector definitions by summer 2024.

This will include proposals for a stand-alone Semiconductor sector and a Critical Minerals area, and views also will be sought on the possibility of adding Water as a sector subject to mandatory notification.

4.

The UK government will consider technical exemptions to the mandatory notification thresholds.

Noting the current breadth of the regime, the UK government requested feedback on whether the appointment of liquidators, internal reorganisations, Scots law share pledges and investments by public bodies should be exempt from mandatory notification requirements.

In response to the feedback received, the UK government intends to bring forward secondary legislation to exempt the appointment of liquidators, official receivers and special administrators from the scope of the mandatory regime in autumn 2024 (subject to parliamentary time).

However, with regard to making targeted exemptions for certain internal reorganisations, Scots law share pledges and transactions by public bodies, the UK government has signalled that further work is required to understand the feasibility of exempting these from the ambit of the NSI regime.

It is anticipated that the Investment Security Unit (the body responsible for administering the NSI regime) will undertake a national risk assessment to understand whether exemptions for these transactions are feasible, and whether they can be designed in such a way that they do not compromise the integrity of the NSI Act.

5.

The UK government will consider further improvements to the operation of the NSI system.

The call for evidence welcomed feedback on the operation of the NSI regime in practice  including operational processes and notification forms.

With several respondents calling for greater transparency around the operation of the system, the UK government will consider whether it is able to implement improvements based on the feedback received.

In addition, more than half of respondents opposed the UK governments proposal to request additional information through the notification forms, and the UK government has signalled that it will carefully consider this feedback before making any future changes to the forms.

What does this mean for businesses?

Despite symbolic nods to minimising the burden on businesses in the response to the call for evidence, we do not expect significant changes to the scope or operation of the NSI regime in practice.

While most transactions will likely continue to be cleared within the initial review period of 30 working days, the regime will remain broad in its application and capture a large number of transactions which do not raise UK national security concerns.

We also can expect the UK government to keep the scope of the regime under ongoing review, ensuring that it remains fit for purpose and taking into account developments in sensitive technologies, as well as potentially evolving threats to UK national security.

With tougher investment rules across the US and the European Union, we can only expect the UK to follow and strengthen its screening processes.

If you require any further information on the UK governments proposals, or guidance on the UK NSI regime more generally, please contact a member of the Cooley team below.

Cooley trainee solicitor Mo Swart also contributed to this alert."
Cooley,UK Continues Focus on Trade Sanctions Enforcement With Updates to Export Control Guidance,"On 10 April 2024, the UK government updated its guidance on export controls regarding breaches of relevant legislation.

In addition to encouraging voluntary disclosures by businesses in respect of export control violations, the guidance now expressly recommends that disclosures also are made in respect of breaches of laws on trade sanctions.

Export controls restrict the transfer of certain goods, services, technology and information from the UK to other jurisdictions.

The guidance provides general information on what controlled goods are and the licences required before they can be exported.

A breach of the export control regulations may incur civil and potentially criminal liability.

The updates to the guidance are limited to its later section on Breaches of export control legislation (the section), which sets out the procedure for making a voluntary disclosure to HM Revenue & Customs (HMRC) for a suspected breach of export controls.

Disclosures are encouraged, because any penalty imposed by HMRC on a business as a result of a violation may be mitigated if the offender has voluntarily come forward.

Previously, the section only indicated that a voluntary disclosure should be made in respect of exports without an appropriate licence.

However, businesses also are now encouraged to make voluntary disclosures where they have breached trade sanctions legislation.

Trade sanctions are supplementary controls related to the export or import of goods or the provision of services to specific jurisdictions.

Trade sanctions are increasingly being deployed by governments across the world as a foreign policy tool and are subsequently becoming a more extensive part of their respective sanctions regimes.

This can be seen in the growing number of trade sanctions being imposed against Russia in response to the ongoing war in Ukraine.

In particular, a large number of trade sanctions and related restrictions are currently being enforced by the UK .

Lately, the UK has demonstrated an enhanced focus on enforcement of trade sanctions by announcing creation of the Office of Trade Sanctions Implementation (OTSI) .

Due to launch in the coming months, OTSI will be responsible for the civil enforcement of trade sanctions.

As part of this remit, it will seek to investigate and prevent the breach and circumvention of trade sanctions.

However, HMRC will retain responsibility for imposing criminal penalties in respect of trade sanctions, and it is anticipated that there will be a referral system between the two authorities.

Until OTSI is up and running, businesses can make voluntary disclosures by providing HMRC with the following information: Details of the export or breach of trade sanction and any relevant documentation.

An explanation of how the breach was discovered and why it occurred.

Details of any steps taken to remedy the breach and prevent further breaches.

This information can be sent to HMRC by post or to this updated email address .

Comments Trade sanctions are a vital and expanding component of sanctions regimes worldwide and can involve complex compliance requirements.

With more cross-border transactions being carried out than ever before, authorities are seeking more effective methods of investigation and enforcement in respect of those breaching or seeking to circumvent export control and trade sanctions legislation.

In this context, it is important that businesses have well-designed policies and procedures in place, which are regularly reviewed in line with regulatory developments.

As part of this, businesses should take into account their ability to make voluntary disclosures to HMRC on breaches and the incentives in place for doing so.

If you have any questions, please contact the Cooley authors listed below, who can advise you on the export controls and trade sanctions which may affect you and your business  and how the voluntary disclosure process may apply to you."
Cooley,UK Continues Focus on Trade Sanctions Enforcement With Updates to Export Control Guidance,Cooley trainee Amber Fisher also contributed to this alert.
Cooley,FCC Reinstates ‘Network Neutrality’ Rules,"After a closely divided vote, the Federal Communications Commission (FCC) has released an order effectively reinstating the network neutrality rules it adopted in 2015 .

This decision reverses a 2017 order during the Trump administration that revoked the 2015 decision.

Under the new order, broadband internet access service (BIAS) has been classified as a telecommunications service subject to the Communications Act requirements for telephone services.

The FCC also has adopted rules limiting blocking and throttling customer access to content and applications, preventing BIAS providers from offering content providers favorable access to users, and expanding the disclosures that BIAS providers must make.

Reclassification The FCC readopted the 2015 conclusion that BIAS should be treated as a telecommunications service rather than as an information service subject to limited regulation.

This decision applies only to mass-market services and to interconnection between BIAS providers and third-party content and application providers, but covers all technologies  including satellites  used to offer BIAS.

Broadband service provided to businesses, services provided by businesses that offer internet access to customers as a convenience (such as internet access in coffee shops) and specialized services not offered to the public at large (such as some telemedicine services) will not be treated as telecommunications services.

The FCC declined to treat network slicing, a technique used by wireless providers to segregate some traffic on their networks, as a specialized service and will consider individual services that use network slicing on a case-by-case basis.

The FCC determined that BIAS should not be subject to many of the obligations that apply to most telecommunications carriers.

The obligations that will not apply to BIAS include rate regulation, tariff rules, requirements to unbundle services and contributions to the federal universal service fund, although the FCC may review the question of contribution requirements at a later date.

However, BIAS providers will be subject to basic obligations to offer service on just, reasonable and nondiscriminatory terms and conditions, to accessibility requirements for people with disabilities, to obligations to comply with FCC information collection requirements, and to rules governing cooperation with law enforcement.

BIAS providers also will be subject to the privacy requirements in the Communications Act, but not the current privacy rules, which the FCC determined were ill-adapted to BIAS.

BIAS providers also will be subject to the FCCs ban on exclusive contracts to provide service to tenants of multiunit buildings.

One of the most significant differences between the 2015 order and the new order is that BIAS providers will be subject to Section 214 of the Communications Act, which governs entry and exit from the interstate telecommunications business.

The order grants blanket authority to provide BIAS to all providers, except certain Chinese entities that have been banned from providing telecommunications services in the US.

It also indicates that the FCC likely will consider whether to adopt rules that require approval for transactions involving BIAS providers, similar to the rules that are in place for other telecommunications carriers today.

Reclassification also gives BIAS providers certain rights under the Communications Act.

These rights include access to utility poles and conduits for their facilities and the ability to obtain universal service funding.

Reinstated network neutrality rules The order reinstates the basic network neutrality rules that were adopted in 2015, which include the following: No blocking BIAS providers cannot block user access to lawful content and services provided by third parties.

No throttling BIAS providers cannot limit the speeds at which specific content or services are provided to customers."
