Firm,Publication Title,Chunk Text
Gleiss Lutz,FOREIGN TRADE LAW UPDATE: EU ADOPTS NEW “MAINTENANCE AND ALIGNMENT” PACKAGE OF MEASURES AGAINST RUSSIA,"The EU tightened existing economic sanctions against Russia on 21 July 2022 in response to Russia’s ongoing war of aggression against Ukraine.

The new “maintenance and alignment” package of measures builds on the sanctions packages of 24 and 26 February 2022 ( newsletter of 28 February 2022 ), 28 February/2 March 2022 ( newsletter of 7 March 2022 ), 16 March 2022 ( newsletter of 18 March 2022 ), 9 April 2022 ( newsletter of 12 April 2022 ) and most recently 3/4 June 2022 ( newsletter of 9 June 2022 ) .

The aim is to optimise and strengthen existing measures.

The new sanctions include a ban on the import, purchase or transfer of Russian-origin gold, the country’s most important export commodity after energy.

The G7 states had already agreed on this step at their recent summit in late June held in Elmau, Germany.

The EU has also amended some of the trade-related and financial sanctions, expanding the list of products and technology under Annex VII of Regulation (EU) 833/2014.

Further individuals and entities, including major Russian financial institution Sberbank, have also been listed.

In a move to bolster the effectiveness of previous measures to freeze assets ( see our newsletter of 9 June 2022 ), the EU has updated reporting requirements, with sanctioned persons now required to disclose and report their assets in the EU.

In addition to tightening sanctions, the package also eases existing restrictions, with the aim of reducing negative consequences for global food and energy security.

Exemptions have been extended to exports for medical purposes and petroleum products and foodstuffs, for example.

Some existing sanctions have also been clarified.

EU sanctions The EU’s package of measures (Regulations (EU) 2022/1269 and 2022/1273 and Implementing Regulations (EU) 2022/1274 and 2022/1270) tightens and adapts the existing sanctions against Russia.

The measures affect in particular the personal sanctions in Regulation (EU) 269/2014 and the financial and trade sanctions in Regulation (EU) 833/2014 .

The EU has introduced personal sanctions against a further 54 individuals and ten entities, bringing the current totals to 1,229 individuals and 110 entities.

Regulation (EU)

No 269/2014 freezes funds and economic resources belonging to, owned or held by the persons listed in Annex I to the Regulation.

No funds or economic resources may be made available, directly or indirectly, to or for the benefit of these persons.

Natural persons are also banned from travelling to and through EU territories (see our newsletters of 7 March 2022 , 12 April 2022 and 9 June 2022 ).

The list in Annex I to the Regulation now includes six Syrian nationals as well as one entity involved in the recruitment of Syrian mercenaries to fight alongside Russian forces in Ukraine.

The EU sees the Syrian regime as providing military support for Russia’s war of aggression against Ukraine.

A number of further Russian politicians, including the mayor of Moscow, have been listed as well as entrepreneurs, soldiers and – to prevent circumventions – relatives of people already listed.

The nationalist motorcycle club, the Night Wolves, and its members as well as a Russian actor and individuals spreading pro-Russian propaganda are now also on the list.

The EU has now also included Sberbank , a move that was already expected as part of the last sanctions package when other major financial institutions were listed.

Sberbank is Russia’s largest bank and accounts for about a quarter of aggregate Russian banking assets and a third of banking capital.

It is largely owned by the Russian government and generates high revenues for it.

While Sberbank was excluded from participating in SWIFT, the international payments system, as part of the third sanctions package ( see our newsletter of 7 March 2022 ),this new listing and accompanying freezing of funds and other assets is tantamount to a complete ban on transactions."
Gleiss Lutz,FOREIGN TRADE LAW UPDATE: EU ADOPTS NEW “MAINTENANCE AND ALIGNMENT” PACKAGE OF MEASURES AGAINST RUSSIA,"The EU has introduced one major exemption, however: The ban does not apply to payments relating to agricultural products.

Listed banks can still process payments of this type.

As well as adding names to the list, the EU has expanded the personal sanctions in Regulation (EU) 269/2014, requiring listed persons to report assets they hold in the EU.

This is to ensure effective and uniform implementation of the Regulation by Member States and to prevent circumvention of the asset freeze: This disclosure and reporting requirement , which has been introduced in Article 9(2) of the Regulation, applies to listed persons, entities or bodies from 1 September 2022 or within six weeks from the date of listing, whichever is later, towards the competent authority of the Member State where such funds or economic resources are located.

Failure to comply is deemed circumvention of the freezing of assets and may be subject to a fine or even a criminal penalty under applicable national law.

The EU has also adopted measures expanding and tightening financial and trade sanctions : The restrictions on gold originating in Russia have attracted extensive media coverage.

They include a prohibition on the direct or indirect import, purchase or transfer of such gold as well as on providing related assistance or brokering services.

The G7 states had already agreed on this step, which has been justified by the EU on the grounds that gold is Russia’s most significant export after energy and that this move could help reduce Russia’s revenues.

The EU sees this as a clear signal of its determination to keep up the pressure on Russia for as long as Russia continues its aggression against Ukraine.

The gold embargo introduced in Article 3o Regulation (EU) 883/2014 relates to gold originating in Russia and exported from Russia to the EU or a third country after 22 July 2022.

This embargo applies not only to unprocessed gold, but also gold products that have been processed in a third country using sanctioned unprocessed gold.

Exceptions apply to gold products for personal use of natural persons or for the official purposes of consular posts or international organisations.

However, these restrictions are not likely to have far-reaching consequences in practice : For one thing, only about 5% of Russian gold exports go to the EU – however, the U.S. and the UK, both more significant buyers, have already adopted their own embargoes on Russian gold.

The EU gold embargo will probably affect Germany even less than the EU as a whole:

According to the Central Association of German Goldsmiths, Silversmiths and Jewellers, Germany buys most of its gold from refineries in which gold is recycled, and not from Russia directly.

Since the previous sanctions already more or less excluded the six largest Russian gold producers from the European and U.S. markets from March onwards, this is not likely to have much more of an impact.

Difficulty in determining the origin of the gold may also limit the effectiveness of these new measures, creating opportunities for circumventing the ban.

The package also extends export controls on dual-use goods and advanced technology .

50 entries have been added to the corresponding list in Annex VII to Regulation (EU) 833/2014.

It now includes, for example, protective equipment for security forces and equipment needed for natural gas fracking and uranium enrichment, as well as special chemicals and machine tools, for example for manufacturing weapons or drills, and other high-tech goods.

However, in addition to these tightened restrictions, the new measures also adjust existing sanctions by expanding existing exemptions from bans on exports and transactions, on the one hand, and optimising or clarifying the scope of application, on the other."
Gleiss Lutz,FOREIGN TRADE LAW UPDATE: EU ADOPTS NEW “MAINTENANCE AND ALIGNMENT” PACKAGE OF MEASURES AGAINST RUSSIA,"The already existing exemption from the prohibition on transactions with certain state-owned enterprises (“ transaction ban ”) has been expanded to include transactions relating to agricultural products and the supply of oil to third countries.

The EU wants to avoid any measures that could cause food insecurity around the world.

The EU’s measures are not aimed at the trade in agricultural and food products or pharmaceutical and medical products between third countries and Russia.

Article 3k(5)

Regulation (EU) 833/2014, new version, specifies that the competent authorities of the Member States may now grant licences for goods and technology that, strictly speaking, are subject to the export ban under Article 3k(1)

Regulation (EU) 833/2014 in accordance with Annex XXIII if they have determined that such goods and technologies are necessary for medical, pharmaceutical or humanitarian purposes.

This revision was necessary given that the list of goods in Annex XXIII that could contribute in particular to the enhancement of Russian industrial capacities is very wide-ranging and extensive ( see our last newsletter of 9 June 2022 ).

The amended Article 5aa(3) Regulation (EU) 833/2014 provides for similar exemptions from the bans in connection with petroleum products and foodstuffs.

It now contains an exemption from the otherwise complete ban on transactions with the Russian companies listed in Annex XXI relating to petroleum and refined petroleum products, as well as agricultural products and foodstuffs.

The prohibition – introduced in Article 3ea(1) Regulation (EU) 883/2014 as part of the fifth sanctions package ( see our newsletter of 12 April 2022 – on providing access to ports in EU territory to any vessel registered under the flag of Russia has been expanded to include locks in order to ensure effective implementation of the sanction and to prevent circumvention, e.g. by transferring cargo just outside the port.

An instance of this has supposedly already been witnessed in Northern Germany.

The EU has provided further clarification with regard to the prohibition in Article 5k Regulation (EU) 833/2014 concerning the award of public contracts.

Furthermore, Article 3c(9) Regulation (EU) 833/2014 has been clarified so as not to impede the work of the International Civil Aviation Organisation on the establishment of technical industrial standards; the EU has also amended further regulations to ensure access to justic e. U.S. sanctions The U.S. Treasury Department took a similar approach to the EU’s current sanctions package on 14 June 2022, when it exempted transactions with Russian banks in the energy sector from sanctions up to 5 December 2022.

Transactions relating to liquefied natural gas (LNG), petroleum products and natural gas, coal, wood, uranium and nuclear energy, as well as transactions relating to thermal energy and in the field of renewable energies, are now permitted again.

On 27 June 2022, in a joint statement in support of Ukraine, the G7 states expressed their intention to sustain and intensify international economic and political pressure on Russia and its enablers in Belarus through coordinated sanctions measures.

The stated common aim is to isolate Russia from participating in the global market and reduce its revenues, as well as to restrict its access to industrial inputs and services which support its armament and technology sector.

In line with this joint statement, the U.S. has likewise prohibited the import of Russian gold and imposed sanctions on 70 additional Russian entities and 29 individuals, mainly from the military-industrial sector.

These personal sanctions primarily involve the aviation sector, including the key Russian companies UAC, Tupolev and Irkut.

Additional U.S. sanctions came into force on 7 July 2022, this time in relation to the Russian consulting sector."
Gleiss Lutz,FOREIGN TRADE LAW UPDATE: EU ADOPTS NEW “MAINTENANCE AND ALIGNMENT” PACKAGE OF MEASURES AGAINST RUSSIA,"Additional U.S. sanctions came into force on 7 July 2022, this time in relation to the Russian consulting sector.

Under the new rules, U.S. companies and individuals are now prohibited from providing accounting, trust, and consulting services in Russia relating to corporate formation and management.

We reported on these sanctions in our newsletter of 9 June 2022 .

Conclusion and outlook: maintenance and alignment, but not a “fully-fledged sanctions package” While the G7 states have committed themselves to the common goal of optimising and intensifying the existing sanctions, there is no such agreement among all of the states currently imposing sanctions on Russia on the specific extent of these; not all of the Member States are on the same page with regard to the EU’s sanctions policy.

Since EU sanctions can only be decided unanimously by the Member States, this will continue to be a problem in the future.

The objection is frequently raised, and not only from the Member States, that the sanctions are having less of an effect on Russia than on themselves.

The African Union in particular has voiced such criticism, blaming the EU for the current food shortages.

The EU therefore found it important, when adopting the “maintenance and alignment” package, to point out that none of these measures target in any way the trade in agricultural and food products between third countries and Russia.

This also explains the exemptions described therein, which are aimed at avoiding any negative impact on global food security and medical care.

The EU also clarified once again that its sanctions are not binding on third countries.

The extent of the newly enacted sanctions falls short of that of previous packages which is why the EU is not officially designating it as a sanctions package.

This is not surprising given the large number of sanctions already in place.

Nevertheless, these are important new rules whose impact should not be underestimated.

The clarifications and adjustments the EU has now made (for example with regard to export authorisations pursuant to Article 3k(5) Regulation (EU) 833/2014) are to be welcomed.

This is in response to possible “drafting errors” which crept in due to the need to adopt sanctions legislation as quickly as possible.

The EU should continue this process and, for instance, allow for possible exemptions from the – very wide-ranging – import ban in Article 3i Regulation (EU) 833/2014 (for example if critical infrastructures/industries within the EU could be affected as a consequence of this ban – as can already be seen in practice).

Even if new far-reaching sanctions are not to be expected in the near future, it can be assumed that the current sanctions will remain in force for a long time – as recently as 26 July 2022, the EU resolved to extend them until 31 January 2023 – and that they will be further adjusted and optimised.

It is therefore still important to keep a watchful eye not only on the existing EU and U.S. sanctions, but also on the equally extensive Russian countersanctions.

There has been another interesting development in the area of EU criminal sanctions: On 7 July 2022, the EU resolved to harmonise legislation on criminal sanctions – currently the purview of the individual Member States – throughout the EU.

It would then be possible to adopt EU-wide minimum standards for the definition and prosecution of violations of EU sanctions, which the Member States would then transpose into national law."
Gleiss Lutz,U.S. DOJ PUBLISHES REVISIONS TO CORPORATE CRIMINAL ENFORCEMENT POLICY,"The U.S. Department of Justice (""DoJ"") has announced a tightened corporate criminal enforcement policy: ""a combination of carrots and sticks"" On 15 September 2022, Deputy U.S. Attorney General Lisa O. Monaco announced a strengthened corporate criminal enforcement policy.

The DoJ has clarified its position with regard to five core areas: (1) individual accountability, (2) corporate recidivism, (3) self-reporting and cooperation, (4) monitorships, and (5) corporate culture and compliance programs.

Key takeaways: The DoJ emphasizes self-disclosure, cooperation and remediation as “the clearest path” for companies to avoid a guilty plea or an indictment (""carrot"").

However, in exchange the company must cooperate ""fully"".

With these changes, the DoJ has considerably tightened the requirements for ""full"" cooperation.

If the company does not cooperate or does not cooperate fully, there is a considerable increased risk that it will only be possible to reach a settlement that includes an admission of guilt (plea agreement), high fines, and the appointment of a compliance monitor (""stick"").

As part of the ""full"" cooperation, the DoJ will now require that particularly relevant information be passed on to the DoJ ""promptly"" as soon as it is discovered.

Delays, even if due to (further) internal investigations, can jeopardize the cooperation credit.

Going forward, the DoJ intends to settle criminal proceedings against companies only if there is a concrete plan for prosecuting the individuals involved.

This means that companies should cooperate with DoJ investigations against individuals (i.e. employees) if they are seeking a settlement for the company.

In practice, this is likely to jeopardize employees’ cooperation in a company’s own internal investigations.

In an attempt to allay such concerns, the DoJ says that the company ""only"" has to provide the facts and not a (criminal legal) assessment.

In practice, however, this subtle distinction often makes no difference to those implicated.

The DoJ recognizes that data privacy laws can make it difficult to hand over information located outside of the U.S. To obtain cooperation credit under these circumstances, the company needs to substantiate the restrictions imposed by data privacy laws, use all available legal bases for processing the information, and identify ""reasonable alternatives"" for providing the requested information.

A history of misconduct by the company remains relevant for the DoJ, especially if the misconduct stemmed from the same cause or happened under the same management.

If one company takes over another, the acquirer must immediately address any compliance issues within the target company.

The DoJ expects companies to implement internal processes that govern the use of personal devices and messenger services for business purposes.

The cooperation credit is contingent on the company being able to collect and hand over relevant business information from private devices as well – in other words, these actions must also be permissible under data protection law.

Compliance can also be managed through employee remuneration.

Going forward, the DoJ will specifically look at whether there are clawback clauses in contracts and whether companies specifically reward compliance – not only on paper, but also in practice.

Assessment In October 2021, Deputy Attorney General Lisa Monaco established a multidisciplinary working group (the Corporate Crime Advisory Group) and tasked it with a top-to-bottom review of the DoJ’s criminal corporate enforcement efforts.

The now-published, tightened corporate criminal enforcement policy stems from the recommendations of the working group and fits into the overall strategy of the DoJ in the Biden Administration."
Gleiss Lutz,U.S. DOJ PUBLISHES REVISIONS TO CORPORATE CRIMINAL ENFORCEMENT POLICY,"The now-published, tightened corporate criminal enforcement policy stems from the recommendations of the working group and fits into the overall strategy of the DoJ in the Biden Administration.

Deputy Attorney General Monaco summarized it as follows in her speech on 15 September 2022: ""In short, we’re empowering companies to do the right thing – and empowering our prosecutors to hold accountable those that don’t.""

On the one hand, this means that the DoJ is further incentivizing preventive compliance measures within companies.

The aim is to give the compliance and legal departments the tools to make a ""business case"" for responsible, lawful behavior.

This also fits in with the DoJ's policy – announced in the spring – of considering in the future whether a company's chief executive officer (“CEO”) and chief compliance officer (“CCO”) must declare in writing, as part of a resolution, that the compliance system is adequately designed and effective for detecting and preventing violations.

In the recent past, Glencore plc committed to making such a declaration in one of its plea agreements.

Before the CEO and CCO declare that this is the case, it is advisable to conduct a certification or review beforehand to confirm that the compliance management system (""CMS"") is indeed appropriately designed and effective.

Particularly with regard to the effectiveness of the CMS, it may also be necessary to ""test"" the processes and controls.

On the other hand, companies have to cooperate more quickly and extensively in order to achieve a favorable resolution – through enhanced cooperation, the DoJ will to be able to prosecute individual persons more quickly and effectively.

Without voluntary, immediate, and complete self-disclosure, cooperation and restitution, there is a risk of considerable penalties.

Conclusion The elements of the tightened corporate criminal enforcement policy are not fundamentally new, but they are profound.

The strategy is already clearly recognizable and impacts companies that have business relations with the U.S. — especially in the case of a possible investigation, but also from a prevention standpoint, e.g. with regard to internal compliance measures.

As a rule, there are good arguments for companies to cooperate with the DoJ.

However, whether a company cooperates ""fully,"" in the sense of the new Corporate Criminal Enforcement Policy, or defends itself otherwise remains a discretionary decision.

In addition to the threat of sanctions, fines and reputational risks, other concerns that can play a significant role in the respective defense strategy include, in particular, procurement law risks, private damages claims, and securities lawsuits."
Gleiss Lutz,THE FUTURE FINANCING ACT – ADDITIONAL OPTIONS FOR STRUCTURING CAPITAL MEASURES AND GOVERNANCE,"The Future Financing Act (Zukunftsfinanzierungsgesetz, “ZuFinG”) entered into force on 15 December 2023.

Its primary objective is to strengthen the performance of the German capital market and enhance Germany’s attractiveness as a financial hub.

The new act focuses primarily on start-ups and small and medium-sized enterprises (SMEs) and aims to make it easier for them to access the capital market and increase their competitiveness not only in Europe, but also further afield.

The following overview highlights key changes in stock corporation and capital markets law.

I. Reintroduction of multiple voting shares The reintroduction of multiple voting shares represents a paradigm shift triggered by the global competition among capital markets.

Dual-class shares carrying different numbers of votes are common among public companies in the US.

Since various European states now also allow multiple voting shares in public companies, the new act aims to prevent German start-ups and IPO candidates from choosing a foreign legal form for this reason alone.

Founders will be able to retain a controlling influence over the company even after selling shares to investors or going public.

Section 12, sentence 2 Stock Corporation Act (Aktiengesetz, “AktG”) (new version) now allows corporations – not just SMEs or publicly traded companies – to issue registered shares with multiple voting rights.

Multiple voting shares are a separate class and not a special type of preference share.

Section 135a

AktG (new version) sets out the options and limits when issuing multiple voting shares: The multiple voting rights may not exceed ten times the voting rights of “ordinary” shares.

All shareholders must agree to create multiple voting shares, which makes it more or less impossible to introduce such shares at existing public companies.

Multiple voting rights expire ten years after the company’s IPO or inclusion in the regulated unofficial market (sunset clause).

This period can be extended by up to ten years based on a shareholders’ resolution adopted with a three-quarters majority.

The resolution is only valid if it is approved by the shareholders of each class of voting shares.

As multiple voting rights are intended to allow founders or early investors to maintain a controlling influence for a limited period of time, they expire if multiple voting shares are transferred to third parties after an IPO or inclusion in the regulated unofficial market (section 135a(2)

AktG (new version)).

Multiple voting shares also cannot be issued when utilising authorised capital (section 202(1), sentence 2 AktG).

A company’s articles of association may restrict the exercise of multiple voting rights to certain resolutions, but there is no obligation to do so.

When it comes to resolutions on appointing the external auditor (section 119(1), no. 5 AktG) or a special auditor (section 142(1) AktG), however, also multiple voting shares only confer one vote (section 135a(4)

AktG (new version)).

Multiple voting shares can play an important role in more than just the start-up phase – when a subsidiary goes public, for example, the parent company may wish to retain influence by holding shares with multiple voting rights.

For financial investors, shares with multiple voting rights may offer a way of acquiring control over a company using only a limited amount of capital and based on an agreement with the current shareholders.

II.

Additional options and greater legal certainty for capital measures 1.

Increased volume for capital increases with simplified exclusion of subscription rights The increase in the permissible volume for a capital increase with simplified exclusion of subscription rights laid down in the ZuFinG will have a substantial impact in practice."
Gleiss Lutz,THE FUTURE FINANCING ACT – ADDITIONAL OPTIONS FOR STRUCTURING CAPITAL MEASURES AND GOVERNANCE,"Under section 186(3), sentence 4 AktG subscription rights may be excluded for a capital increase against cash contributions in particular if the issue price is not significantly lower than the stock market price.

The volume for capital increases with simplified exclusion of subscription rights was limited to 10% of share capital so far; this limit has now been increased to 20%.

Listed companies generally use this type of capital increase in the context of utilising authorised capital.

It remains to be seen how proxy advisors and institutional investors will view the increase in volume.

To date, a common recommendation has been to approve authorisations for capital increases with the exclusion of subscription rights only up to 10% of the share capital due to the associated dilution.

Issuers planning authorised capital with an increased volume for the simplified exclusion of subscription rights at their 2024 general meetings should contact their proxy advisors well in advance.

Capital increases with simplified exclusion of subscription rights will also be more attractive to issuers because legal remedies are largely excluded.

Resolutions on a capital increase with simplified exclusion of subscription rights cannot be contested on the basis that the issue price is unreasonably low (section 255(2) AktG (new version)).

Nor are shareholders whose subscription rights have been excluded as part of such an issue entitled to cash compensation pursuant to section 255(4)

AktG (new version) (see 3).

2.

Volume limits for conditional capital increases The ZuFinG also raises some of the volume limits for conditional capital: Conditional capital increases to fund stock options for members of management bodies and employees may now be carried out up to 20% (previously 10%) of the share capital.

This amendment is likely to have practical implications for start-ups where significant portions of the remuneration are paid in the form of shares.

Under the new rules (section 192(3), sentence 1

AktG (new version)), conditional capital used to create shares for a merger with another company – an option that is rarely exercised – can now amount to 60% instead of the previous maximum of 50% of existing share capital.

The limit of 50% of share capital for conditional capital created to issue convertible bonds (which is generally the primary purpose) remains unchanged, however.

3.

Fundamental revision of the system of legal protection against capital measures The ZuFinG completely overhauls the system of legal protection afforded to shareholders against capital measures introduced by the general meeting.

In doing so, the ZuFinG addresses a criticism frequently levelled in the past at the concept laid down in section 255(2), sentence 1

AktG (old version).

This previously made it possible to contest a resolution to increase the company’s capital with the exclusion of subscription rights on the basis that either the issue price or the minimum price was unreasonably low.

Since an action based on a valuation-related objection was as a rule not obviously unfounded and there was no guarantee that the court would rule in the company’s favour pursuant to section 246

AktG, there were risks that such capital increase resolutions could be delayed or not implemented at all.

According to section 255 AktG (new version), a resolution can no longer be contested on the basis that a shareholder sought to obtain special benefits (section 243(2) AktG) or that the value of the contribution attributable to a share was unreasonably low.

It is worth noting that the scenario in which a resolution cannot be contested is not restricted to capital increases with the exclusion of subscription rights, but also covers any rights issue."
Gleiss Lutz,THE FUTURE FINANCING ACT – ADDITIONAL OPTIONS FOR STRUCTURING CAPITAL MEASURES AND GOVERNANCE,"It is worth noting that the scenario in which a resolution cannot be contested is not restricted to capital increases with the exclusion of subscription rights, but also covers any rights issue.

When it comes to valuation-related objections, the ZuFinG replaces the legal protection afforded to shareholders in the form of avoidance and/or nullity actions that can render the resolution null and void with a compensation claim awarded in appraisal proceedings.

This significantly improves transaction security for capital increases.

Following the example of the Act implementing the Directive on Cross-Border Conversions (Gesetz zur Umsetzung der Umwandlungsrichtlinie), a company can choose whether to settle any compensation claims of its shareholders in cash or – to protect its liquidity – by granting additional shares (sections 255a, 255b AktG (new version)).

At first glance, the concept seems sound, but raises questions on closer scrutiny.

It does not appear conclusive to allow valuation-related objections in the case of capital increases with subscription rights, but to refuse them in the case of capital increases with simplified exclusion of subscription rights (section 255(4)

AktG (new version)).

Moreover, dealing with compensation claims in appraisal proceedings is time-consuming for the issuer and also complex, especially where compensation is granted in the form of shares.

Given that the risk of having to pay costs is relatively low for applicants, we will likely see an increase in appraisal proceedings where shareholders contest capital increase resolutions.

Ultimately, the increase in transaction security brings with it the burden of subsequent proceedings.

Section 255(5)

AktG (new version) does provide significant relief, however, in that the value of the granted shares in the case of listed companies must generally be set at the stock market price and there is no claim to compensation if the issue price is not significantly lower than this.

We expect that this valuation will also have an impact on the judicial review of compensation for structural measures and simplify appraisal proceedings in such cases.

III.

Change to the record date for participation in the general meeting For bearer shares of listed companies, the certificate confirming share ownership required for participation in the general meeting previously had to “make reference to the beginning of the 21st day prior to the meeting” (section 121(4), sentence 1

AktG (old version)).

In future, however, “close of business on the 22nd day prior to the meeting” will be the relevant record date.

This change is a direct response to Article 1, point 7 Commission Implementing Regulation (EU) 2018/1212 of 3 September 2018.

In practice, this means that the invitation to the general meeting and the shareholders’ rights must be based on the close of business on the 22nd day prior to the general meeting, for example 24:00 on 25 May instead of 0:00 on 26 May, as was previously the case.

Given the primacy of the AktG, the new provision also applies to companies that had adopted the previous wording of the act in their articles of association.

For reasons of legal certainty, companies in this position would be well-advised to amend their articles of association by shareholders’ resolution.

IV.

Introduction of a German SPAC A SPAC (Special Purpose Acquisition Company) is a company without commercial operations formed specifically to raise capital through an IPO for the sole purpose of acquiring a non-listed company within a specified period of time.

SPACs have been around in the US for decades, but have as yet not been of major practical significance on German stock exchanges.

The few known SPACs in Germany were all set up exclusively in accordance with foreign law, mainly because of the restrictive requirements laid down in the AktG.

The ZuFinG makes it easier for German companies to be used as SPACs."
Gleiss Lutz,THE FUTURE FINANCING ACT – ADDITIONAL OPTIONS FOR STRUCTURING CAPITAL MEASURES AND GOVERNANCE,"The ZuFinG makes it easier for German companies to be used as SPACs.

To this end, the Stock Exchange Act (Börsengesetz, “BörsG”) now provides for a special variant of the German stock corporation (AG) or the Societas Europaea (SE), which is called a Börsenmantelaktiengesellschaft (or listed shell stock corporation).

This is the German equivalent of a SPAC and is not subject to certain restrictive provisions of the AktG. The Börsenmantelaktiengesellschaft is an AG or SE that expressly trades as such and whose corporate purpose is to manage its own assets, execute its own IPO and prepare and conclude a corporate acquisition that meets the criteria described in the listing prospectus.

It is important to note in this regard that the target cannot be a listed company.

Following the successful IPO, a Börsenmantelaktiengesellschaft has 48 months in which to complete a target transaction and acquire a company (section 44(3) BörsG (new version)).

The target transaction must be approved by the general meeting with a 75% majority and any shareholders who object to the transaction may offer their shares for sale.

If no company is acquired within 48 months, the Börsenmantelaktiengesellschaft must be dissolved in accordance with general regulations and as a rule be wound up (section 47b(1) BörsG in conjunction with section 262(1), no. 1 AktG).

V. Improvements to the tax framework for employee participation programmes In addition to increasing the volume limit for conditional capital for granting shares to management board members and employees, the ZuFinG includes a number of tax measures to promote employee participation programmes (article of 5 December 2023).

VI.

Setting the stage for electronic shares The Electronic Securities Act (Gesetz über elektronische Wertpapiere, “eWpG”), which came into force on 10 June 2021, has to date only allowed bearer bonds and investment fund units to be issued electronically in accordance with the Capital Investment Code (Kapitalanlagegesetzbuch).

The ZuFinG allows shares to be issued in the form of electronic securities, as defined in the eWpG, with effect from 1 November 2025.

The certificate issued for a security will be replaced by an entry in an electronic register – either a central or crypto securities register – which will at the same time provide the requisite public record in the case of transfer.

For central register securities, a central register is kept for all issued shares at a securities clearing and deposit bank or at a central securities depository authorised by the company (e.g. Clearstream) (sections 4(2), 12 eWpG).

A crypto securities register, in contrast, is a tamper-proof recording system in which data is logged and stored in chronological order.

The European market infrastructure regulations do not currently provide any framework for the trading, listing and settlement of electronic securities, although a trading framework is likely to be in place by the end of 2025.

VII.

Entry into force Large parts of the ZuFinG have come into force following its promulgation in the Federal Law Gazette, but the provisions revising the eWpG and introducing crypto securities (Article 16 ZuFinG) will only take effect on 1 November 2025.

VII.

Conclusion The ZuFinG contains a number of improvements for start-ups and SMEs seeking access to the capital market, while its reintroduction of multiple voting shares opens up interesting options.

The new law also creates better conditions for employee participation programmes.

The ZuFinG offers listed companies greater flexibility and legal certainty when carrying out capital measures, although it remains to be seen how the new provisions on valuation-related objections will affect these."
