title,url,date
PROHIBITION OF PRODUCTS MADE WITH FORCED LABOUR,https://www.gleisslutz.com/en/news-events/know-how/prohibition-products-made-forced-labour,2024-05-10
CANNABIS LEGALISATION IN GERMANY: WHAT WILL CHANGE IN THE MEDICAL SECTOR?,https://www.gleisslutz.com/en/news-events/know-how/cannabis-legalisation-germany-what-will-change-medical-sector,2024-05-03
CS3D UPDATE,https://www.gleisslutz.com/en/news-events/know-how/cs3d-update,2024-04-24
EPBD AMENDED TO INCLUDE AMBITIOUS NEW TARGETS FOR THE BUILDING SECTOR,https://www.gleisslutz.com/en/news-events/know-how/epbd-amended-include-ambitious-new-targets-building-sector,2024-04-18
PARTIAL VICTORY AT DÜSSELDORF HIGHER REGIONAL COURT – CONSTRUCTION COST CONTRIBUTIONS LEVIED ON THE BATTERY STORAGE INDUSTRY ARE DISCRIMINATORY,https://www.gleisslutz.com/en/news-events/know-how/partial-victory-duesseldorf-higher-regional-court-construction-cost-contributions-levied-battery-storage-industry-are,2024-04-15
"KEY PROPOSALS FOR GERMAN GOVERNMENT’S CARBON MANAGEMENT STRATEGY PUBLISHED, GREENLIGHTING CCS AND CCU USE",https://www.gleisslutz.com/en/news-events/know-how/key-proposals-german-governments-carbon-management-strategy-published-greenlighting-ccs-and-ccu-use,2024-04-09
RIGHTS TO TRAINED AI,https://www.gleisslutz.com/en/news-events/know-how/rights-trained-ai,2024-04-08
PFAS RESTRICTION PROPOSAL ON THE EU LEVEL,https://www.gleisslutz.com/en/news-events/know-how/pfas-restriction-proposal-eu-level,2024-03-21
EUROPEAN PARLIAMENT GIVES GREEN LIGHT FOR REGULATION ON STANDARD ESSENTIAL PATENTS,https://www.gleisslutz.com/en/news-events/know-how/european-parliament-gives-green-light-regulation-standard-essential-patents,2024-03-05
FIELD-TESTING THE NEW EU FOREIGN SUBSIDIES REGULATION,https://www.gleisslutz.com/en/news-events/know-how/field-testing-new-eu-foreign-subsidies-regulation,2024-02-27
FOREIGN TRADE LAW UPDATE: 13TH PACKAGE OF EU SANCTIONS AGAINST RUSSIA AND NEW DEVELOPMENTS FOLLOWING 12TH PACKAGE,https://www.gleisslutz.com/en/news-events/know-how/foreign-trade-law-update-13th-package-eu-sanctions-against-russia-and-new-developments-following-12th-package,2024-02-26
THE DIGITAL ACT: A BOOST FOR DIGITALISATION IN GERMAN HEALTHCARE,https://www.gleisslutz.com/en/news-events/know-how/digital-act-boost-digitalisation-german-healthcare,2024-02-21
MODERNISATION OF GERMAN ARBITRATION LAW MAKING PROGRESS,https://www.gleisslutz.com/en/news-events/know-how/modernisation-german-arbitration-law-making-progress,2024-02-12
REDUCING BUREAUCRACY: DEVELOPERS TO RECEIVE EASIER ACCESS TO LAND REGISTER,https://www.gleisslutz.com/en/news-events/know-how/reducing-bureaucracy-developers-receive-easier-access-land-register,2024-02-12
THE BMWK’S ELECTRICITY STORAGE STRATEGY – A REGULATORY BOOST FOR ELECTRICITY STORAGE,https://www.gleisslutz.com/en/news-events/know-how/bmwks-electricity-storage-strategy-regulatory-boost-electricity-storage,2024-02-12
NEW FEDERAL BUDGET RETAINS KEY ENERGY AND INFRASTRUCTURE PROJECTS FOLLOWING FEDERAL CONSTITUTIONAL COURT RULING ON CLIMATE AND TRANSFORMATION FUND,https://www.gleisslutz.com/en/news-events/know-how/new-federal-budget-retains-key-energy-and-infrastructure-projects-following-federal-constitutional-court-ruling-climate-and,2024-02-05
THIRD COUNTRY REGIME UNDER CRD 6,https://www.gleisslutz.com/en/news-events/know-how/third-country-regime-under-crd-6,2024-02-01
EUROPEAN PARLIAMENT ADOPTS TIGHTER MARKET COMMUNICATION RULES IN SUPPORT OF GREEN TRANSITION,https://www.gleisslutz.com/en/news-events/know-how/european-parliament-adopts-tighter-market-communication-rules-support-green-transition,2024-01-23
ESTABLISHMENT OF HYDROGEN CORE NETWORK,https://www.gleisslutz.com/en/news-events/know-how/establishment-hydrogen-core-network,2024-01-22
DATA 360° – DATA ACT NOW IN FORCE,https://www.gleisslutz.com/en/news-events/know-how/data-360deg-data-act-now-force,2024-01-12
REAL ESTATE UPDATE 2024 – GROUNDS FOR CAUTIOUS OPTIMISM?,https://www.gleisslutz.com/en/news-events/know-how/real-estate-update-2024-grounds-cautious-optimism,2024-01-11
CHANGES AFFECTING CIVIL LAW PARTNERSHIPS FOLLOWING THE REFORM OF PARTNERSHIP LAW,https://www.gleisslutz.com/en/news-events/know-how/changes-affecting-civil-law-partnerships-following-reform-partnership-law,2024-01-08
FOREIGN TRADE LAW UPDATE: TWELFTH PACKAGE OF EU SANCTIONS AGAINST RUSSIA,https://www.gleisslutz.com/en/news-events/know-how/foreign-trade-law-update-twelfth-package-eu-sanctions-against-russia,2023-12-21
THE FUTURE FINANCING ACT – ADDITIONAL OPTIONS FOR STRUCTURING CAPITAL MEASURES AND GOVERNANCE,https://www.gleisslutz.com/en/news-events/know-how/future-financing-act-additional-options-structuring-capital-measures-and-governance,2023-12-18
EMPLOYEE STOCK PARTICIPATION PLANS: TAX EXEMPTIONS INCREASED,https://www.gleisslutz.com/en/news-events/know-how/employee-stock-participation-plans-tax-exemptions-increased,2023-12-05
INADMISSIBILITY OF ICSID ARBITRAL PROCEEDINGS UNDER ENERGY CHARTER TREATY,https://www.gleisslutz.com/en/news-events/know-how/inadmissibility-icsid-arbitral-proceedings-under-energy-charter-treaty,2023-11-17
11TH AMENDMENT TO THE ACT AGAINST RESTRAINTS OF COMPETITION ENTERS INTO FORCE; CONSULTATIONS ON 12TH AMENDMENT BEGIN,https://www.gleisslutz.com/en/news-events/know-how/11th-amendment-act-against-restraints-competition-enters-force-consultations-12th-amendment-begin,2023-11-06
THE UNIFIED PATENT COURT ON “OPT-OUT”: FIRST REASONED DECISION NOW AVAILABLE,https://www.gleisslutz.com/en/news-events/know-how/unified-patent-court-opt-out-first-reasoned-decision-now-available,2023-10-23
EXCELLENCE THROUGH DIVERSITY – FOSTERING DIVERSITY AT A MAJOR SPANISH LAW FIRM,https://www.gleisslutz.com/en/news-events/know-how/excellence-through-diversity-fostering-diversity-major-spanish-law-firm,2023-09-28
CBAM – NEW OBLIGATIONS AND PENALTIES UNDER THE EU’S CARBON BORDER ADJUSTMENT MECHANISM TO TAKE EFFECT ON 1 OCTOBER 2023,https://www.gleisslutz.com/en/news-events/know-how/cbam-new-obligations-and-penalties-under-eus-carbon-border-adjustment-mechanism-take-effect-1-october-2023,2023-09-18
TERMS AND CONDITIONS OF THE EU'S FIRST HYDROGEN AUCTION PUBLISHED,https://www.gleisslutz.com/en/news-events/know-how/terms-and-conditions-eus-first-hydrogen-auction-published,2023-09-18
AMENDMENT TO THE RENEWABLE ENERGY SOURCES ACT – PROPERTY OWNERS OBLIGED TO TOLERATE CERTAIN MEASURES TO AID THE EXPANSION OF RENEWABLE ENERGIES,https://www.gleisslutz.com/en/news-events/know-how/amendment-renewable-energy-sources-act-property-owners-obliged-tolerate-certain-measures-aid-expansion-renewable-energies,2023-09-06
GOING CONCERN FORECAST PERIOD UNDER INSOLVENCY LAW BACK TO TWELVE MONTHS AS FROM 1 SEPTEMBER 2023,https://www.gleisslutz.com/en/news-events/know-how/going-concern-forecast-period-under-insolvency-law-back-twelve-months-1-september-2023,2023-08-31
