Firm,Publication Title,Chunk Text
Noerr,Caution needed when shareholders waive claims,"Background Shareholders of corporations and partnerships waiving claims is a widespread structuring tool for boosting companies in financial trouble.

Shareholder waivers also have a solid place in preparing for company successions, especially in partnerships.

In these cases they can reduce harmful administrative assets as part of the exemption of business assets from inheritance or gift tax.

However, the income tax implications of shareholder waivers must always be examined, as a recent decision by Germany’s Federal Fiscal Court (BFH) on 16 December 2023 (case IV R 28/20) shows once again.

Income tax treatment of shareholder waivers at corporations The income tax treatment of shareholders of a corporation waiving claims has been largely clarified by numerous BFH rulings.

First of all, it must be determined whether the claims waiver is business-related or caused by the company relationship.

It is generally assumed that the waiver of claims is due to the company relationship if a non-shareholder would not have declared the waiver of claims if such non-shareholder had exercised the due care of a prudent businessman (known as the arm’s length principle).

If the waiver of the claim is caused by the company relationship, a hidden contribution to the corporation is to be assumed in the amount of the recoverable part of the claim and a generally taxable income of the corporation in the amount of the non-recoverable part of the claim as a result of the derecognition of the corresponding liability (the BFH calls this a discontinuation gain).

In addition, the balance of the corporation’s tax contribution account is increased by the recoverable portion of the receivable.

If the claims waiver is for operational reasons (e.g. because major third-party creditors also waive their claims), the corresponding liability of the corporation must be derecognised and, subject to a tax exemption for restructuring income, the full nominal amount of the liability results in a taxable discontinuation gain at the level of the corporation.

Income tax treatment of partner waivers at partnerships Until the ruling of 16 December 2023, the tax implications of a shareholder waiver with respect to partnerships had not yet been covered by supreme court case law.

The legal situation is therefore much less certain than in the case of shareholder waivers at corporations.

There are various opinions on this in the legal literature, including the opinion that criteria which are relevant in the context of shareholder waivers in relation to corporations, such as the nature of the reason for the waiver (operational or through the company relationship) and the recoverability of the receivable, are far less important in the case of a partnership due to the income tax transparency of partnerships and that even if a receivable with a reduced value is waived, a taxable gain is not effectively realised at the level of the partnership at all or is only realised in the future (when the waiving partner leaves the partnership or the partnership is dissolved).

BFH ruling of 16 December 2023 In its ruling of 16 December 2023, the BFH had to rule on the tax implications of a partner waiver in partnerships for the first time.

The question at issue was whether a taxable discontinuation gain arises if a partner acquires a receivable from “their” partnership for less than the nominal value and subsequently waives the (worthless) part of the claim that exceeds the purchase price.

The lower court took the view that taxable income arose in the partnership, but that this income should be allocated to a tax equalisation item and only taxed when the partner leaves the partnership or when the partnership is fully terminated.

In deviation from this, the BFH ruled that the resulting income could not be neutralised by creating a tax adjustment item.

As a result, in the view of the BFH, the partnership realises a discontinuation gain that is immediately taxable."
Noerr,Caution needed when shareholders waive claims,"As a result, in the view of the BFH, the partnership realises a discontinuation gain that is immediately taxable.

According to the BFH, this was not in conflict with the income tax transparency of partnerships.

The fiscal authorities have decided to apply the BFH ruling on a general basis.

Analysis and practical implications Caution is also needed when partners in a partnership waive claims.

It is often said that a shareholder waiver has no income tax disadvantages, regardless of the reason for the waiver and the recoverability of the receivable, in any event due to the transparency principle, or that such tax disadvantages would only be effectively realised at a later date.

As the BFH decision shows, this must be examined on a case-by-case basis and may result in an immediately taxable discontinuation gain if the valuation of the receivable in the special tax balance sheet of the partner differs for any reason from the valuation of the corresponding liability at the level of the partnership.

In practice, these cases are not always immediately obvious.

In addition to the commercial balance sheets, the special tax balance sheets must also be audited.

If the valuations in the special tax balance sheet of the partner and in the overall balance sheet of the partnership correspond, a waiver by the partner (even if the value of the receivable is limited or non-existent) should still not lead to a taxable discontinuation gain at the level of the partnership, because any income from the derecognition of the partnership’s liability is offset by an expense of the same value in the special tax balance sheet of the partner.

While the BFH did not have to rule on this specific question in the case at hand, the strict “accounting” approach taken by the BFH supports this interpretation.

The BFH ruling is likely to have rendered obsolete the arrangement proposed in legal literature of selling the receivable in question below its nominal value to a shareholder who subsequently declares a shareholder waiver instead of a claim waiver by a non-shareholder.

In addition to the income tax implications of a claim waiver, any gift tax implications must not be neglected."
Noerr,"EU merger control: European Commission takes stricter action against submission of incorrect, incomplete and misleading information","Some two years after the collapsed acquisition of Trimo by Kingspan, the European Commission now charges Kingspan over providing incorrect, incomplete and misleading information during the merger control review.

The European Commission has issued a Statement of Objection which outlines its preliminary findings.

The procedure may result in severe fines and once again highlights that companies need to check very carefully the information they provide in the context of merger control proceedings.

This applies not only to the parties directly involved in the transaction (acquirer, target, joint venture partner) but also to any third parties questioned, such as competitors, customers or suppliers.

Background: Proposed acquisition Kingspan, an Irish manufacturer of insulation panels, notified the European Commission about the proposed acquisition of its Slovenian competitor Trimo in March 2021.

In the in-depth examination procedure, the Commission outlined its competition concerns: higher prices, lower quality and less choice on certain national building materials markets for mineral fibre sandwich panels which are used for the construction, renovation and insulation of industrial and commercial buildings.

Kingspan and Trimo eventually abandoned the transaction.

Further investigation: Incorrect, incomplete and/or misleading information?

The European Commission did not leave it there.

A few months later, it launched an investigation to determine whether Kingspan had intentionally or negligently provided incorrect, incomplete and/or misleading information during the merger control proceedings.

The European Commission has now informed Kingspan that it considers its suspicion confirmed with regard to the following facts: Internal organisation, relevant aspects aimed at assessing the relevant product and geographical market, barriers to market entry and expansion, importance of innovation, and closeness of competition between Kingspan and Trimo and their competitors.

Kingspan will now comment on this preliminary assessment by the Commission.

Infringements may lead to significant fines The obligation not to provide incorrect, incomplete and/or misleading information applies equally to European and German merger control proceedings.

The scope of the obligation and the risk of a fine depends on the type of information request or transmission: Merger notification: The obligation comprehensively applies to information provided in the merger notification (including annexes, certifications, and supplements thereto).

Infringements can be sanctioned with a fine.

In addition, incomplete mandatory information also renders a filing not complete; the time limits provided for in the European Merger Control Regulation do not start to run.

Simple oral questioning : Simple oral questioning, for example via telephone/video calls, is a tool often used by competition authorities to gather information quickly and easily.

The obligation not to provide incorrect and/or misleading information also applies in this case.

However, infringements cannot be sanctioned with a fine.

Simple request for information: The vast majority of information requested in merger control proceedings is demanded by way of a simple request for information (RFI).

The obligation not to provide incorrect and/or misleading information applies, but legally, there is no obligation to provide the information at all.

The provision of incomplete information can only constitute an infringement if the partial information is misleading about the true facts.

Infringements in the context of simple requests for information can be sanctioned with a fine in European merger control proceedings – unlike in German merger control proceedings.

Formal request for information : The European Commission may also request information by way of formal decision to receive the requested information."
Noerr,"EU merger control: European Commission takes stricter action against submission of incorrect, incomplete and misleading information","Formal request for information : The European Commission may also request information by way of formal decision to receive the requested information.

In addition to the obligation not to provide incorrect and/or misleading information, there is an obligation to provide (complete) information within the time limit set, which can be enforced with coercive measures if necessary.

Infringements can be sanctioned with a fine.

Formal requests for information are often not necessary because the mere threat of them is sufficient to obtain a response to a simple request for information.

Due to the principle of proportionality, a formal request for information must only be used if necessary.

However, there is no strict priority of simple information requests.

The European Commission has the discretion to directly use formal requests for information if it has reasonable grounds to assume that a simple request for information will not be sufficient.

The European Commission (as well as the German Federal Cartel Office) can impose a fine of up to 1% of the total (group) turnover of the company concerned in the last financial year for each infringement that is subject to a fine.

Importantly, it does not matter whether the information provided has an impact on the outcome of the merger control proceedings.

The nature, gravity, and duration of the infringement as well as any aggravating or mitigating circumstances – such as cooperating with the European Commission in the infringement proceedings – are taken into account when setting the fine.

The fine must be both proportionate and deterrent.

The fines imposed by the European Commission for incorrect or misleading information illustrate the relevance: EUR 110 million in 2017 on Meta, EUR 52 million in 2019 on General Electric and EUR 7.5 million in 2021 on Sigma-Aldrich.

The German Federal Cartel Office has also taken action in recent years, albeit with significantly smaller fines.

Assessment and practical implications The Kingspan case is of great significance because it is the first time the focus seems to concern incorrect, incomplete and misleading information relating to relevant aspects of the qualitative market assessments.

It must be acknowledged that for its merger control assessment, the European Commission is dependent on comprehensive and precise information, most of which can only be provided by the parties.

The information provided by the parties to the merger and third parties questioned ensures the effectiveness of merger control.

However, descriptions of the relevant markets, the barriers to market entry or the closeness of competition are in complex cases all but straightforward and not simply true or false.

Companies and their advisors should nevertheless always check information provided in merger control proceedings very carefully to avoid being accused of providing incorrect, incomplete, or misleading information.

Given the far-reaching information obligations and requests for information, and the often very tight deadlines in merger control proceedings, this can be a considerable challenge for companies which can only be overcome by careful preparation of the filing and provision of sufficient resources."
Noerr,Regulatory & Governmental Affairs – Europanews 2024,"Corporate Sustainability Due Diligence The European Parliament endorsed the deal reached with the Council on the proposal for a directive on corporate sustainability due diligence.

In order to become law, the text now needs to be officially adopted by the Council.

_______________________________________

Download Newsletter 16/2024

Highlight: Corporate Sustainability Due Diligence Last Issues Edition Topic 16/2024 Corporate Sustainability Due Diligence 15/2024 Euro 7 14/2024 Heavy-Duty Vehicles 13/2024 Foreign Subsidies Regulation 12/2024 Digital Markets Act 11/2024 Critical Raw Materials Act 10/2024 Euro 7 09/2024 Forced Labour Regulation 08/2024 Patent Package 07/2024 Sanctions 06/2024 Digital Markets Act 05/2024 Market Definition Notice 04/2024

Right-to-Repair Directive 03/2024

Economic Security 02/2024

Heavy-duty Vehicles 01/2024

Euro 7 45/2023 Sustainable Finance 44/2023 Corporate Sustainability Due Diligence Directive 43/2023

Ecodesign Regulation 42/2023 Data Act 41/2023 Electrical and Electronic Equipment Waste 40/2023 Critical Raw Materials Act 39/2023 Data Act 38/2023 Vehicle Safety 37/2023 Anti-coercion tool 36/2023 Forced Labor 35/2023 Euro 7 34/2023 Electric Vehicles 33/2023 Euro 7 32/2023 Greenwashing 31/2023 State of the Union 30/2023 Digital Markets Act 29/2023 Energy Labelling 28/2023 Alternative Fuels Infrastructure Regulation 27/2023 Cyber Resilience Act 26/2023 End-of-Life Vehicles 25/2023 Critical Raw Material Act 24/2023 Data Act 23/2023 European Economic Security Strategy 22/2023

Foreign Direct Investments Regulation 21/2023 Digital Markets Act 20/2023 Corporate Sustainability Due Diligence Directive 19/2023 Alternative Fuels Infrastructure Regulation 18/2023 EU Customs Reform 17/2023 Artificial Intelligence 16/2023

State Aid 15/2023 Intellectual Property Rights 14/2023 Carbon Border Adjustment Mechanism 13/2023 Sustainable Finance 12/2023 Fluorinated Gases

11/2023 Abuse of Dominance Rules 10/2023

Right to repair 09/2023 Net-Zero Industry Act 08/2023 General Block Exemption Regulation 07/2023

Sustainable Finance 06/2023 Cars and Vans Emissions 05/2023 Foreign Subsidies Regulation 04/2023

Green Deal Industrial Plan 03/2023

Electricity Market 02/2023

Green Deal Industrial Plan 01/2023

Late Payment Directive 47/2022 Emissions Trading System 46/2022 Carbon Border Adjustment Mechanism 45/2022 Artificial Intelligence 44/2022 Carbon Removal 43/2022 Antitrust 42/2022

State Aid 41/2022 Market Definition Notice 40/2022

State Aid Temporary Crisis Framework 39/2022 CO2 Emission Vehicles 38/2022 Commission Work Programme 37/2022 Competition – HBERs 36/2022 Temporary Crisis Framework 35/2022 Liability rules 34/2022 Single Market Emergency Instrument 33/2022 EC Program 32/2022 Energy Crisis 31/2022

FDI Screening 30/2022 Gas Supply 29/2022

Gas Supply 28/2022 State Aid Temporary Crisis Framework 27/2022 Motor Vehicle Block Exemption Regulation 26/2022

Foreign Subsidies 25/2022 EU Emissions Trading System 24/2022 Digital Services Act 23/2022 International Public Procurement Instrument 22/2022 Alternative Fuels Infrastructure 21/2022 Informal Antitrust Guidance 20/2022 REPowerEU Plan 19/2022

Vertical Block Exemption Regulation 18/2022 Foreign subsidies 17/2022 Digital Services Act 16/2022 Harmonised Charger 15/2022 Intellectual Property 14/2022 EU Industrial Emissions 13/2022

Sustainable Products 12/2022 State Aid Temporary Crisis Framework 11/2022 Carbon Border Adjustment Mechanism 10/2022

State Aid Temporary Crisis Framework 09/2022

Antitrust – HBER 08/2022 Data Act 07/2022 Intellectual Property – Standard Essential Patents 06/2022

European Chips Act 05/2022 Vertical Block Exemption Regulation 04/2022

State Aid for Climate, Environment and Energy 03/2022 Internet of Things 02/2022

State Aid – Agriculture, Forestry and Fishery Sectors 01/2022

EU Taxonomy 45/2021

State Aid – Energy and Climate 44/2021 Energy and Climate 43/2021"
Noerr,Regulatory & Governmental Affairs – Europanews 2024,"State Aid – Agriculture, Forestry and Fishery Sectors 01/2022

EU Taxonomy 45/2021

State Aid – Energy and Climate 44/2021 Energy and Climate 43/2021

Anti-coercion Instrument 42/2021 European Data Strategy 41/2021 Foreign Direct Investments 40/2021 Competition Policy 39/2021

Renewable and Low-Carbon Fuels 38/2021 Steel and Aluminium 37/2021 European Banking Rules 36/2021 European Commission Work Programme 35/2021 Energy Prices 34/2021 General Block Exemption Regulation 33/2021 State Aid 32/2021 Radio Equipment Directive 31/2021 State of the Union 30/2021 EU Strategic Foresight Report 29/2021 Chemicals 28/2021 Money Laundering 27/2021

European Green Deal 26/2021 Vertical Block Exemption Regulation 25/2021 Financial Stability 24/2021 EU-US Summit 23/2021 Energy and Environmental State Aid Guidelines 22/2021 Data Act 21/2021 Motor Vehicle Block Exemption Regulation

20/2021 Risk Finance Guidelines 19/2021 Dual-use Items 18/2021 Foreign Subsidies 17/2021 Artificial Intelligence 16/2021

Artificial Intelligence 15/2021 State aid and Greenhouse Gas Emissions 14/2021 State Aid – RDI Framework 13/2021 Merger Control 12/2021 Online Platforms 11/2021 Data Protection 10/2021 Carbon Border Levy 09/2021 EU Single Market 08/2021

State Aid – IPCEI Communication 07/2021 EU Trade Strategy 06/2021 Privacy and Electronic Communications

05/2021 Financial Benchmarks 04/2021 Banking Crisis Management 03/2021 State aid and Covid 02/2021 Regulatory and tax framework for digital economy 01/2021 EU-China Investment Agreement 44/2020

Dual use items 43/2020 Data Governance Act 42/2020 Offshore Renewable Energy 41/2020 State Aid for Energy and Environment 40/2020

Foreign Subsidies 39/2020 Climate Target Plan 38/2020 EC Work Programme 37/2020 European Green Deal 36/2020 Foreign Subsidies 35/2020 Customs Union 34/2020

Digital Finance Package 33/2020 Climate Target Plan 32/2020 Vertical Block Exemption Regulation 31/2020 Airports Slot Waiver 30/2020

Telecom Rules 29/2020 Security Union Strategy 28/2020 State Aid-Regional Aid Guidelines 27/2020 Taxation 26/2020 Online Platform

25/2020 EU State aid rules 24/2020 Market Definition Notice 23/2020 Foreign Subsidies 22/2020 Digital Strategy 21/2020

New Competition Tool 20/2020 Recovery Plan 19/2020 Biodiversity and Food System 18/2020

Privacy 17/2020 Money Laundering 16/2020 Covid-19 and Banking 15/2020 Covid-19 and Export Scheme 14/2020 Covid-19 and Mobile Data

(2) 13/2020 Covid-19 and Mobile Data (1) 12/2020 Public Procurement Framework 11/2020

Foreign Investment Screening 10/2020 EU Law and Covid-19 09/2020 EU Industrial Strategy 08/2020

Climate Law 07/2020 Update on Brexit 06/2020

European Digital Future 05/2020 Economic Forecast 04/2020 Brexit negotiations 03/2020

Work Programme of the European Commission 02/2020

Brexit 01/2020 EU Green Deal Investment Plan 28/2019 RAPEX Weekly Report 27/2019 Trade 26/2019 End-of-life Vehicles Directive 25/2019 Vertical Block Exemption Regulation 24/2019 Actions for Damages - Quantification of Harm 23/2019

General Block Exemption Regulation 22/2019 EU Strategic Agenda 21/2019 Online Platforms 20/2019 Insolvency Directive

19/2019 Digital Single Market 18/2019 Clean Energy 17/2019 Capital Markets Union 16/2019 Future of Europe 15/2019 EU Strategic Agenda 14/2019 Online Platforms 13/2019 Impact of Digitisation on Competition 12/2019

Copyright Reform 11/2019 Online Tool for Cartel Leniency and Settlements 10/2019 Cyber-security 09 /2019

Foreign Investment Screening 08

/2019

Copyright 07 /2019

Copyright 06

/2019

Foreign Direct Investments 05

/2019 Market Surveillance of Products 04 /2019 Cross-border eCommerce 03 /2019 Electricity Market 02 /2019 CO2 Emission Standards 01 /2019 State Aid

For further questions: Please contact: Christian Alexander Mayer: christian.mayer@noerr.com

Dr Alexander Birnstiel: alexander.birnstiel@noerr.com

Dr Dr Claus Zimmermann: claus.zimmermann@noerr.com Giovanna Ventura: giovanna.ventura@noerr.com"
Noerr,Regulatory & Governmental Affairs – Europanews 2024,"Dr Alexander Birnstiel: alexander.birnstiel@noerr.com

Dr Dr Claus Zimmermann: claus.zimmermann@noerr.com Giovanna Ventura: giovanna.ventura@noerr.com

This could also interest you: Regulatory & Governmental Services by Noerr Regulatory & Governmental News & Views by Noerr"
Noerr,Role of the DMA for app developers,"In September 2023, the European Commission (“ Commission ”) designated Alphabet, Amazon, Apple, ByteDance, Meta and Microsoft as gatekeepers under the DMA.

This is based on the total of 22 core platform services (“ CPS ”) operated by these six companies.

The CPS provided in the DMA are all characterised by the fact that they act as an interface between a large number of end users on the one hand and commercial users on the other.

CPS also include operating systems and app stores, such as those operated by Apple and Google.

App developers are dependent on these stores to the extent that they can largely only reach their customers via app stores or operating systems.

Accordingly, app developers are dependent on the gatekeepers granting them transparent and non-discriminatory access to customers.

As of 7 March 2024 – known as DMA ‘Compliance Day’ – gatekeepers had to have implemented the DMA obligations and prepared (and regularly updated) reports outlining how they comply with their DMA obligations.

The Commission published the reports on its website in a non-confidential version.

Following these reports, the Commission initiated official proceedings for failure to implement the DMA obligations as early as on 25 March 2024, i.e. not even 20 days after DMA Compliance Day.

In particular, Apple and Google are accused of failing to comply with the requirements of the DMA in the design of their app stores (see Commission press release ).

Non-compliance proceedings may lead to substantial fines for the gatekeepers.

In addition, the gatekeepers may be confronted with legal proceedings initiated by users and app developers before national courts based on non-compliance with the DMA obligations (private actions for abatement, injunctions and damages; more background information on this can be found in our article on Noerr News ).

Which obligations are particularly relevant to app developers?

The DMA contains more than twenty obligations in Articles 5-7, many of which also have at least an indirect impact on app developers.

Below, we highlight the three most important obligations that are likely to lead to particularly far-reaching changes to app developers’ rights and options.

Authorisation of steering measures – Article 5(4)

DMA Gatekeepers are obliged to allow measures by app developers with which they advertise to end users, particularly as part of their intermediary services and operating systems.

It is important to note that the advertising can also relate to products and terms not even offered by the app developer via the gatekeeper’s CPS.

This is intended especially to prevent commercial users from being obliged to offer products exclusively via the gatekeeper’s CPS.

The DMA therefore aims at reducing dependencies of commercial users by enabling them to steer their end users away from the gatekeepers’ CPS (known as “steering measures”).

It is worth mentioning that the Commission recently (i.e. before DMA Compliance Day) fined Apple over €1.8 billion for similar behaviour on the basis of antitrust provisions, and not under the DMA ( Commission press release ).

In the case at issue, Apple had prohibited developers of music streaming services from referring to and advertising cheaper offers outside the Apple ecosystem.

Significance for app developers: App developers have the right to communicate their offers and alternative (especially cheaper) distribution channels to end users via each gatekeeper’s core platform services.

Obligation to allow the installation and use of third-party software – Article 6(4)

DMA Article 6(4)

DMA requires gatekeepers offering an operating system as a CPS to allow the effective use of apps and app stores from other providers.

Compliance with this obligation requires transparent and non-discriminatory access to the technical programming interface of the operating system for app developers so that the apps can be installed on the relevant operating system."
Noerr,Role of the DMA for app developers,"Gatekeepers must also allow side-loading which means the option of obtaining and installing an app via channels other than the official app stores of the operating system.

The purpose of this obligation is to open up closed business models in which using the operating system previously required using the company’s own app store.

The obligation is intended to encourage competition between app stores on all operating systems and enable cost-effective and simple distribution for app developers.

Significance for app developers: App developers have a right with respect to operating systems (that are designated as CPS) to distribute their apps via other/their own app stores or other distribution channels without being restricted to using a particular operating system.

Interoperability obligations for operating systems – Article 6(7)

DMA Article 6(7)

DMA states that gatekeepers must permit the exchange of different information with other software and hardware free of charge (known as interoperability) in relation to operating systems and virtual assistants designated as CPS.

By way of an example, gatekeepers must ensure from a technical perspective that app developers have access to all features of an operating system.

Such requirement shall ensure that app developers can offer apps other than those of the operating system operator but with comparable features.

The aim of interoperability is thus to facilitate competition at app level.

Without interoperability, a gatekeeper could otherwise exploit a possible dual role as the operator of a CPS and the sole provider of compatible products.

Significance for app developers: App developers are entitled to obtain free and effective access from gatekeepers who operate an operating system or a virtual assistant as a CPS to those CPS by means of interoperability for complementary software and hardware.

How can app developers enforce their rights?

The Commission enforces the DMA, and app developers could approach the authority in Brussels in order to prompt action against the gatekeepers.

In addition to such public enforcement.

affected parties can therefore bring civil actions for injunctions (including interim relief) and, if necessary, claims for damages before the national courts in the EU (private enforcement – see our Noerr News article for more information).

Once the Commission (and, if applicable, the courts) have found a breach of the DMA, follow-on actions for damages against gatekeepers will also be possible.

With the 11th Amendment to the German Act against Restraints of Competition, the German legislators have extended the binding effect of Commission decisions familiar from antitrust law to Commission decisions on the DMA.

What comes next?

The Commission must complete its investigations into Alphabet’s, Apple’s and Meta’s practices within twelve months.

Of particular relevance to app developers is the question as to whether and to what extent Alphabet and Apple are in breach of the DMA due to the way they organise the terms and conditions of their app stores.

App developers and other affected parties may in principle also take action against the gatekeepers in national courts even before the Commission’s proceedings are concluded.

Note : The book New Digital Markets Act (DMA) , recently issued by Jens Peter Schmidt and Fabian Hübener, is our assessment of the background to, implementation of and compliance with the DMA.

Please contact us if you would like further advice and tailored solutions regarding the DMA and related competition law issues."
Noerr,Federal Court of Justice confirms relevance of negative interest rates when calculating early repayment compensation,"In a long awaited judgment ( XI ZR 159/23 ), the Federal Court of Justice ( Bundesgerichtshof ) confirmed that the creditor may calculate its losses caused by the termination of a loan agreement secured by a mortgage on the basis of the interest rate applicable to the reinvestment of the repaid loan even if the interest rate is negative.

Background

The starting point of the judgment is section 490 (2) sentence 3 of the German Civil Code.

According to this provision, the borrower is obliged to compensate the bank for the loss arising from the premature termination of a loan agreement that is secured by a mortgage (so-called early repayment compensation – Vorfälligkeitsentschädigung ).

According to longstanding case law the bank can choose between two methods for calculating its loss: The first method assumes that the prematurely repaid loan amount is reissued as a fixed-interest mortgage loan.

The second method, the so-called ‘asset/liability method’ ( Aktiv-Passiv-Methode ) is based on the principle that the creditor’s loss of profit is calculated by taking into account the notional return that it could expect to obtain if it reinvested the funds released by the early repayment in mortgage bonds with maturities corresponding to the term of the loan.

Prior to the judgment of the Federal Court of Justice, there was no consensus among courts how to deal with the problem that negative reinvestment interest rates had formed on the market for the relevant capital market securities.

In some cases, the consideration of negative interest rates was allowed, in others it was rejected.

Arguments of the Federal Court of Justice for relevance of negative interest rates The Federal Court of Justice agreed with the courts which based the calculation of the early repayment compensation on negative interest rates.

The court simply applied the principles already established to the scenario of negative reinvestment interest rates.

According to theses principles the creditor may notionally calculate its loss on the basis of a reinvestment in mortgage bonds with matching maturities (paras. 17 et seq. of the judgment).

According to the court, this starting point applies irrespective of the relevant interest rate environment (para.

18 of the judgment).

This is convincing because the relevant legal principles should indeed apply regardless of actual developments such as the development of market interest rates which cannot be influenced by the contractual parties.

In this respect, the Federal Court of Justice explicitly rejects the idea that the abstract calculation of damages, which is detached from the actual reinvestment, violates the principle under German law that there may not be any overcompensation.

Here too, the court emphasised that the already accepted principles apply and that there is no reason to deviate from these principles if the applicable interest rates are negative.

According to these principles, the creditor may calculate its loss in the abstract because the successful claim of an early repayment compensation would otherwise be thwarted by practically impossible requirements of proof (paras. 20 et seq. of the judgment).

Implications and outlook With this judgment, the Federal Court of Justice has created legal clarity and certainty for a large number of past cases in which creditors calculated the early repayment compensation based on negative reinvestment interest rates.

The wave of requests for reimbursement that would otherwise be expected will therefore not materialise.

As a negative interest rate environment is not to be expected in the foreseeable future, the judgment has no direct significance for loan agreements that will be terminated in the future.

However, the judgment underlines the fact that the Federal Court of Justice will continue to adhere to established principles for calculating damages in the future and will not deviate from them lightly."
