title,url,date
The Legal Environment for IVF and Other Assistive Reproductive Technology After Alabama’s Supreme Court and Legislative Decisions,https://www.sidley.com/-/media/publications/alabama-ivf-pharmaceutical-executive-byline_may-2024.pdf?la=en&rev=70f7983dfdee4967b707742b6b5e352a,2024-05-16
The International Comparative Legal Guide to: Securitisation 2024,https://www.sidley.com/-/media/publications/sec24chapter-10england--wales.pdf?la=en&rev=17b165dc570749298e4299e6bb8dcd14,2024-05-15
Shaping the Board Agenda in a Dynamic Environment,https://www.sidley.com/-/media/publications/shaping-the-board-agenda--mn23357-488609441468-v1.pdf?la=en&rev=f692770f9f3149fba701d4a9fb00c9e0,2024-05-06
California’s New Climate Disclosure Laws Under Fire in Lawsuit Against California Air Resources Board,https://www.sidley.com/-/media/publications/rec506202456331sidley.pdf?la=en&rev=185afc9ae9a94814ab1c94c3d1e00620,2024-05-02
U.S. Environmental Protection Agency Proposes Rules to Implement Methane Emissions Fee For Oil and Natural Gas Sources,https://www.sidley.com/-/media/publications/us-epa-proposes-rules-to-implement-methane-emissions-fee-for-oil-and-natural-gas-sources.pdf?la=en&rev=9e2bb7a05b7742c8b9cfef9d596da2f6,2024-05-01
SEC Off-Channel Comms Action Hints At Future Enforcement,https://www.sidley.com/-/media/publications/law360--sec-offchannel-comms-action-hints-at-future-enforcement.pdf?la=en&rev=61f46c4b8e7d4ab5a9c078968069819a,2024-04-26
EPA Chemical Safety Rule Raises Questions About Authority,https://www.sidley.com/-/media/publications/law360--epa-chemical-safety-rule-raises-questions-about-authority-003.pdf?la=en&rev=ac4c0ba67bc145a4bed212595d36afaf,2024-04-25
Sidley Global Insurance Review: ESG,https://www.sidley.com/-/media/publications/2024-sidley-global-insurance-review.pdf#page=65,2024-04-01
Top 10 Questions on the EU AI Act,https://www.sidley.com/-/media/publications/otdataguidanceeuaifaqebook.pdf?la=en&rev=2400b1848d7c42da82fa71bf0115d4de,2024-04-01
A New Wave of Class Actions: The Genetic Information Privacy Act,https://www.sidley.com/en/insights/publications/2024/04/a-new-wave-of-class-actions-the-genetic-information-privacy-act,2024-04-23
Michigan No Longer A Safe Haven For Pharmaceutical Companies?,https://www.sidley.com/en/insights/publications/2024/04/michigan-no-longer-a-safe-haven-for-pharmaceutical-companies,2024-04-17
Cell & Gene Therapies: An Overview Of FDA Regulatory Considerations For 2024,https://www.sidley.com/en/insights/publications/2024/04/cell-gene-therapies-an-overview-of-fda-regulatory-considerations-for-2024,2024-04-17
Chambers 2024 Global Practice Guides for Data Protection & Privacy and Cybersecurity,https://www.sidley.com/-/media/publications/chambersdata-protection--privacy-2024001introduction.pdf?la=en&rev=bb4b8669490b4b889137b32099369c98,2024-04-11
Regulating the Future: Navigating Ethical and Legal Pathways in Brain-Computer Interface Technology,https://www.sidley.com/-/media/publications/regulating-the-future-navigating-ethical-and-legal-pathways-in-braincomputer-interface-technology.pdf?la=en&rev=6fe1e06fc07643d1b5b855030549bf78,2024-04-04
Temporary Marketing Authorization – Swissmedic Guidance Revised,https://www.sidley.com/-/media/publications/temporary-marketing-authorization--article-1.pdf?la=en&rev=aeadfcb2186a4b78986fed73f95103b8,2024-04-03
Swiss Life Sciences Companies With International Supply Chains Face New ESG Obligations With First Reports Due in 2024,https://www.newsd.admin.ch/newsd/message/attachments/81540.pdf,2024-04-03
Regulatory Consideration for Software Hardware Medical Device,https://health.ec.europa.eu/system/files/2023-10/md_mdcg_2023-4_software_en.pdf,2024-04-03
Sidley Global Insurance Review,https://www.sidley.com/-/media/publications/2024-sidley-global-insurance-review.pdf?la=en&rev=49a0f2e4ba4f4a7eac3e4b6e82829799,2024-03-01
Sidley Global Insurance Review: Tax,https://www.sidley.com/-/media/publications/2024-sidley-global-insurance-review.pdf#page=28,2024-03-01
And Now A Word From The Panel: Benefits Of MDL Transfers,https://www.sidley.com/-/media/publications/law360--and-now-a-word-from-the-panel--benefits-of-mdl-transfers.pdf?la=en&rev=b01ec7fb0f7548a397a3f2e6faa4ddff,2024-03-27
Cybersecurity Takeaways From White House Tech Report,https://www.sidley.com/-/media/publications/law360--3-cybersecurity-takeaways-from-white-house-tech-report.pdf?la=en&rev=ea3000b1fa70469f968bf4bb2027e8b7,2024-03-26
Assessing FDA Pathways For Genome-Edited Plant Foods,https://www.sidley.com/-/media/publications/law360--assessing-fda-pathways-for-genomeedited-plant-foods.pdf?la=en&rev=889cfc0f1bb5432ab801d4aeab2ac6e9,2024-03-21
EV Regulations Continue Evolving,https://www.sidley.com/en/insights/publications/2024/03/ev-regulations-continue-evolving,2024-03-15
Sidley Global Insurance Review: Capital Markets,https://www.sidley.com/-/media/publications/2024-sidley-global-insurance-review.pdf#page=20,2024-03-01
Sidley Global Insurance Review: M&A,https://www.sidley.com/-/media/publications/2024-sidley-global-insurance-review.pdf#page=8,2024-03-01
Sidley Global Insurance Review: Privacy and Cybersecurity,https://www.sidley.com/-/media/publications/2024-sidley-global-insurance-review.pdf#page=50,2024-03-01
Accelerating Trends in Metals and Mining Dealmaking: Q&A With Sidley M&A Partner,https://www.sidley.com/-/media/publications/accelerating-trends-in-metals-and-mining-dealmaking-qa-with-sidley-ma-partner--miningcom.pdf?la=en&rev=34f64802e8a448b09d227924af8b4c2a,2024-03-06
Singapore’s Moment Has Come: Its Role as a New Global Biotech Hub,https://www.sidley.com/-/media/publications/singapores-moment-has-come-its-role-as-a-new-global-biotech-hub.pdf?la=en&rev=1237c5838651482d8088e5c207a08339,2024-03-06
CMS Signals Looming Sunshine Act Audits: How to Prepare,https://www.sidley.com/-/media/publications/cms-signals-looming-sunshine-act-audits_-how-to-prepare.pdf?la=en&rev=3b786dd27cb34e09aef523a77358f2b7,2024-03-01
New Securities and Exchange Commission Rule Requires Extensive Reporting and Disclosure of Securities Lending Information,https://www.sidley.com/-/media/publications/k-campion-a-blake-k-klaben-a-assadipour-e-kauffman-and-j-ortiz.pdf?la=en&rev=7bd51386a9784fd4ae86a0067a80487a,2024-02-01
Pratt’s Privacy & Cybersecurity Law Report,https://www.sidley.com/-/media/publications/maureen-f-gorsen-samuel-b-boxerman-heather-palmer-m-allison-and-b-bolen.pdf?la=en&rev=bfb30301f8b14ae5a77edea10385a400,2024-02-01
Lexology Panoramic: Vertical Agreements 2024,https://www.sidley.com/-/media/publications/european-union---vertical-agreements.pdf?la=en&rev=b3cae48e014345a08f9fa6c5b0c42b11,2024-02-22
Lessons for Directors from the First Universal Proxy Card Campaigns,https://www.sidley.com/-/media/publications/nacd-governance-outlook_sidley-headshot-update.pdf?la=en&rev=4e2e8f22ced04294890c812659e8ac3f,2024-02-01
Fund Finance: Overview,https://www.sidley.com/-/media/publications/practical-law-fund-finance-overview.pdf?la=en&rev=ccb98be6426a4f509f6cc0b56aa5bc38,2024-02-14
The U.S. Plans to ‘Lead the Way’ on Global AI Policy,https://www.sidley.com/-/media/publications/the-us-plans-to-lead-the-way-on-global-ai-policylawfare-articleraul-and-mushka---489099047078-1.pdf?la=en&rev=dc30dc75ac5c436fa86d87c79e4e268f,2024-02-13
"Aviation Sector Back On Course, But Keep Seatbelts Fastened",https://www.sidley.com/-/media/publications/law360--aviation-sector-back-on-course-but-keep-seatbelts-fastened.pdf?la=en&rev=96354fa7ea394859a9e46412aba1f620,2024-02-08
2023: A Year in Review for Trade Secret Litigation,https://www.sidley.com/-/media/publications/aimee_fagan_trade_secret_litigation.pdf?la=en&rev=c7b454ab07264d44a609bc0a3bad5f18,2024-02-07
Chambers 2024 Global Practice Guide for International Trade,https://www.sidley.com/-/media/publications/001_introduction.pdf?la=en&rev=67aaf7ff3ca343c5bcc5207d3c5fd630,2024-01-29
Digital Assets Put ETPs in the Spotlight: What Are They and What Makes Them Tick?,https://www.sidley.com/-/media/publications/wlt_terrero.pdf?la=en&rev=2b4fd8314e5549d796ca7c0fcbcdf1fb,2024-01-26
