Firm,Publication Title,Chunk Text
Simpson Thacher & Bartlett,Jonathan Youngwood and Lynn Neuner Quoted in The AmLaw Litigation Daily on Securities Class Action Filings Trends in H1 2023,"Jonathan Youngwood and Lynn Neuner, Global Co-Chairs of the Firm’s Litigation Department, were quoted in an AmLaw Litigation Daily article titled, “The Regional Bank Swoon Yielded a Securities Class Action Boomlet,” which explored findings from Cornerstone Research’s midyear securities class action filings report.

When discussing trends, Jon commented on how turbulence in the banking industry was reflected in the securities filings, noting that litigation often follows market disruption and that there may be “long-tailed, complex cases that will go deep into discovery” if cases survive motion to dismiss.

Lynn identified a shift in the number of state court filings in the report, noting that years ago plaintiff’s counsel would be opting for judges in state courts who may not be as familiar with both the M&A field and the Section 11 field, but currently these filings are down.

To read the full article, please click here (subscription required)."
Simpson Thacher & Bartlett,Blackstone Invests in Currencies Direct,"Simpson Thacher is representing funds managed by Blackstone Tactical Opportunities in their announced £140 million pending strategic investment in Currencies Direct.

The investment will be made in partnership with Currencies Direct’s management team, led by Keith Hatton, and Palamon Capital Partners and Corsair, which will retain their majority co-controlling stake in Currencies Direct.

Currencies Direct is a leading global provider of digital foreign exchange and international payment services to private clients and small and medium sized enterprises (SMEs).

The Simpson Thacher team includes Geoffrey Bailhache, James Campisi and Jason Yue (Corporate); Owen Lysak, Adam Robins, Etienne Renaudeau and Henry Llewellyn (Regulatory); Yash Rupal and Ellie Verran (Tax); and Ashley Bannister (Finance)."
Simpson Thacher & Bartlett,Centerbridge Partners and Suntex Marinas establish Joint Venture,"Simpson Thacher represented Centerbridge Partners, L.P. (“Centerbridge”) in connection with the establishment of a joint venture backed by Centerbridge-affiliated funds and global institutional investors to acquire over $1.25 billion in new marinas across the United States, with Suntex Marina Investors LLC (“Suntex”) also contributing funds and managing the marinas in exchange for a fee.

Simpson Thacher previously represented Centerbridge in connection with the recapitalization of Suntex in 2021.

In conjunction with the deal, the joint venture has closed on an up to $600 million revolving credit facility led by Wells Fargo Bank.

Suntex engages in the ownership and management of marina properties.

The executive officers at Suntex have over 100 years combined experience investing in, acquiring and managing marinas.

Suntex prides itself on a growing reputation in the marina industry for its commitment to superior customer service, experienced marina managers and staff, conscious contributions to marina communities and expansive enthusiasm for creating memorable experiences on the water.

The Simpson Thacher team includes Benjamin Schaye and David Goodman (M&A); Jonathan Karen, Linda Tieh, Jeannette Figg, Lawton Salley, Emma Snover and Rebecca Wang (Funds); Greg Ressa and Danielle Jackson (Real Estate); Marcy Geller, Caroline Phillips and Michael Slomovics (Tax); Brian Steinhardt, Kyle Nelson and Emma Li (Credit); and Kate Mirino (Intellectual Property)."
Simpson Thacher & Bartlett,Simpson Thacher Represents Dealer Managers in Upsized $316 Million Tender Offer by TriNet,"Simpson Thacher recently represented the dealer manager, BofA Securities, Inc., in connection with a cash tender offer by TriNet Group, Inc. (“TriNet,” NYSE: TNET) of approximately $316 million in value of its issued and outstanding common stock through a modified “Dutch auction” process.

TriNet provides small- and medium-size businesses with full-service HR solutions tailored by industry.

To free businesses from HR complexities, TriNet offers access to human capital expertise, benefits, risk mitigation and compliance, and payroll, all enabled by industry leading technology and capabilities.

The Simpson Thacher team included Marisa Stavenas, Patrick Baron and Nicole Fu (Capital Markets); and Jonathan Cantor (Tax)."
Simpson Thacher & Bartlett,Latin Lawyer Names Two Simpson Thacher Matters 2023 “Deals of the Year”,"Two Simpson Thacher matters were named 2023 “Deals of the Year” by Latin Lawyer .

The Firm was recognized for advising Stonepeak Infrastructure Partners in its acquisition of the Latin American business of Lumen Technologies, Inc. , which was named “Private Equity Deal of the Year.”

Additionally, in connection with LATAM Airline’s exit from bankruptcy in which the Firm represented the lenders on LATAM Airlines Group’s $2.75 billion debtor-in-possession to exit financing , was named “Restructuring Deal of the Year.”

The Latin Lawyer Awards honor landmark Latin American deals and cases over the past year.

To view the full list of winners, please click here (subscription required)."
Simpson Thacher & Bartlett,Carrix Acquires Ceres Terminals,"Simpson Thacher represented Carrix, a leading marine terminal operator in the U.S. and the Americas, in the debt financing for Carrix’s purchase of Ceres Terminals (“Ceres”) from Macquarie Infrastructure Partners III.

Established over 60 years ago, Ceres operates in 18 locations throughout North America, including California, Houston, Montreal, Vancouver, B.C. and throughout the U.S. Atlantic and Gulf coast regions.

Ceres has expanded its stevedoring operations to include a portfolio of terminal concessions that provide on-dock logistics services for shipping containers, roll-on roll-off cargo, breakbulk cargo and cruise passengers.

Carrix is the parent company of SSA Marine and its affiliates with combined operations at over 250 terminal facilities and rail locations worldwide, including 18 container terminals in Long Beach, Oakland, Seattle, Tacoma, Jacksonville, Panama, Mexico, Chile, Colombia and Vietnam.

SSA Marine also operates cruise, auto and other conventional terminals throughout the United States and Canada.

The Simpson Thacher team included Brian Gluck, Zachary Banks and John Charles (Credit); Michael Mann and Scott Grundei (Tax); Garrick Ehlers (ERISA); and Michael Isby (Environmental)."
Simpson Thacher & Bartlett,Corporación Grupo Romero Affiliate Sells 50% Stake in Tramarsa to Global Infrastructure Partners,"The Firm has represented Grupo Romero in connection with the sale of a 50% stake in Trabajos Maritimos S.A. (“Tramarsa”) to Global Infrastructure Partners.

Tramarsa is an integrated port infrastructure in Peru, that operates two port concessions in Peru, entry points for Peru’s primary mining and agricultural regions.

Grupo Romero is a Peruvian conglomerate with a leading presence in the infrastructure, financial, insurance, fuel retail, consumer goods, agribusiness, logistics, real estate and fishery sectors throughout Latin America.

The Simpson Thacher team included Borja Marcos and Laura Grisales (M&A); and Bill Smolinski (Tax)."
Simpson Thacher & Bartlett,Heidi Mayon Speaks at 2023 TechGC IPO Forum,"Capital Markets Partner Heidi Mayon will speak on a roundtable discussion titled “Preparing Yourself for the Public Stage” on September 14 in Brooklyn, New York as part of the 2023 TechGC IPO Forum.

The program will address the transition from a private company GC to a public company GC, which brings about significant shifts in responsibilities and required expertise.

It will further explore the critical areas that GCs need to focus on in their personal development and will discuss understanding SEC rules, building an effective public company board and implementing strategies for continuous learning and adaptation.

For more information about the conference, please click here ."
Simpson Thacher & Bartlett,Mick Tuesley to Speak at ACI’s National Conference on CFIUS,"Head of the Firm’s National Security Regulatory Practice Mick Tuesley will speak at the American Conference Institute’s (“ACI”) 8 th National Conference on CFIUS on April 26 th in

Washington, D.C. Mick will moderate a panel titled, “SCORECARD: How CFIUS is Processing Cases under FIRRMA and Evaluating the Streamlined Declaration Process.”

Among other topics, the panel will discuss a comparison of lower-risk and higher-risk deals, the effects of recent reforms, and the challenges U.S. businesses and foreign investors are currently facing.

The conference is widely regarded as the premier event for the CFIUS bar and brings together leaders from government, industry and private practice.

For more information on the conference, please click here ."
Simpson Thacher & Bartlett,Pfizer Completes $31 Billion Bond Offering,"Simpson Thacher represented the underwriters, led by BofA Securities, Citigroup, Goldman Sachs and J.P. Morgan, in connection with a registered offering of $31 billion in Notes by Pfizer, Inc.’s wholly-owned subsidiary, Pfizer Investment Enterprises Pte.

Ltd.

The Notes are fully and unconditionally guaranteed on a senior unsecured basis by Pfizer.

The Notes were issued in eight series with maturities ranging from 2025 to 2063, with proceeds intended to be used for the financing for Pfizer’s proposed acquisition of Seagen Inc. News reports noted that the offering is the fourth-largest U.S. bond sale ever and largest debt financing for a merger or acquisition this year.

Pfizer applies science and its global resources to bring therapies to people that extend and significantly improve their lives through the discovery, development and manufacture of healthcare products, including innovative medicines and vaccines.

The Simpson Thacher team included Joseph Kaufman, Jonathan Ozner, Kirsten Harmon, Kaitlyn Posa and Elizabeth Greene (Capital Markets); Russell Light and Michael Mann (Tax); Melanie Jolson (IP); Jamin Koslowe and Guanxiong Xu (Executive Compensation and Benefits); Toby Chun and Noreen Lavan (Environmental); and Jennie Getsin (Blue Sky)."
